종목명,ESG 통합등급,2020_E,2020_S,2020_G,평가연도,업종명
AJ네트웍스,B,D,B,B,2020,서비스업
AK홀딩스,B+,C,B+,B+,2020,기타금융
BGF,B+,B,A,B+,2020,기타금융
BGF리테일,A,B+,B+,A,2020,유통업
BNK금융지주,A+,B+,A+,A+,2020,기타금융
BYC,B,D,B,B+,2020,섬유의복
CJ,A,B,A,A,2020,기타금융
CJ CGV,A,B,A,A,2020,서비스업
CJ대한통운,A,A,B,A,2020,운수창고업
CJ씨푸드,B,C,B+,B+,2020,음식료품
CJ제일제당,A,A,A+,A,2020,음식료품
CS홀딩스,C,D,C,B,2020,기타금융
DB,B,D,B,B,2020,서비스업
DB금융투자,B,D,A,B,2020,증권
DB손해보험,B+,A,A,B+,2020,보험
DB하이텍,B+,B+,A,B+,2020,전기전자
DGB금융지주,A+,A,A+,A+,2020,기타금융
DRB동일,B,B,B,B,2020,기타금융
DSR,C,B,B,C,2020,철강금속
DSR제강,C,C,B,C,2020,철강금속
E1,B,C,A,B+,2020,유통업
F&F,-,-,-,-,2020,섬유의복
GKL,B+,C,A,A,2020,서비스업
GS,B+,C,A,A,2020,기타금융
GS건설,A,A,B+,A,2020,건설업
GS글로벌,B,D,B+,B+,2020,유통업
GS리테일,B,C,B,B+,2020,유통업
HDC,B+,C,B+,B+,2020,기타금융
HDC현대EP,B,B,B+,B,2020,화학
HDC현대산업개발,C,C,C,B+,2020,건설업
HMM,A,A,A+,A,2020,운수창고업
HSD엔진,A,B+,A,A,2020,기계
JB금융지주,A+,A,A,A+,2020,기타금융
JW생명과학,B+,B+,B+,B+,2020,의약품
JW중외제약,B,B,B+,B,2020,의약품
JW홀딩스,B+,C,B+,B+,2020,기타금융
KB금융,A+,A+,A+,A+,2020,기타금융
KC그린홀딩스,B,B,B+,B,2020,기타금융
KC코트렐,B,B,B,B,2020,기계
KEC,B,B+,B+,C,2020,전기전자
KG케미칼,D,C,C,D,2020,화학
KISCO홀딩스,C,B,B,C,2020,철강금속
KPX케미칼,B,B,C,B,2020,화학
KPX홀딩스,C,C,C,B,2020,화학
KR모터스,C,D,C,B,2020,운수장비
KSS해운,B+,B,B+,B+,2020,운수창고업
KTcs,B,D,B+,B+,2020,서비스업
KTis,B,D,B+,B+,2020,서비스업
LF,B,D,B,B+,2020,섬유의복
LG,A,B+,A+,B+,2020,기타금융
LG디스플레이,B+,B,A,B+,2020,전기전자
LG생활건강,A,A,A+,A,2020,화학
LG유플러스,B,B+,B+,B,2020,통신업
LG이노텍,A,A,A+,B+,2020,전기전자
LG전자,B+,A,A+,B,2020,전기전자
LG헬로비전,B+,D,B+,A,2020,서비스업
LG화학,B,C,A,B+,2020,화학
LIG넥스원,A,B+,A,A,2020,기계
LS,B+,B,B+,A,2020,기타금융
LS네트웍스,B,D,B+,B,2020,유통업
LS전선아시아,B,D,C,B+,2020,기타금융
MH에탄올,B,C,B,B+,2020,음식료품
NAVER,A,B+,B+,A+,2020,서비스업
NH투자증권,B+,B,A+,B+,2020,증권
NICE,B,D,B,B+,2020,서비스업
NI스틸,C,D,C,B,2020,철강금속
