,기업코드,ESG등급,환경,사회,지배구조,평가년도,업종명
AJ네트웍스,95570,B+,C,B+,B+,2022,서비스업
AK홀딩스,6840,B+,B,A,B,2022,기타금융
AP시스템,265520,D,D,C,C,2022,반도체
BGF,27410,B+,A,A+,B,2022,기타금융
BGF리테일,282330,A,A,A+,A,2022,유통업
BNK금융지주,138930,A,A,A,A,2022,기타금융
BYC,1460,D,D,D,D,2022,섬유의복
CJ,1040,B+,B+,A,B+,2022,기타금융
CJ CGV,79160,B+,B,B+,B+,2022,서비스업
CJ ENM,35760,B+,B+,A,B,2022,방송서비스
CJ대한통운,120,B+,B+,A+,B,2022,운수창고업
CJ씨푸드,11150,B,C,B,B,2022,음식료품
CJ제일제당,97950,A,A,A,B+,2022,음식료품
CJ프레시웨이,51500,A,B,A,A,2022,유통
CMG제약,58820,D,D,D,D,2022,제약
CS홀딩스,590,C,D,D,B,2022,기타금융
DB,12030,B,D,B,B+,2022,서비스업
DB금융투자,16610,B,C,B,B,2022,증권
DB손해보험,5830,B+,B+,A,B+,2022,보험
DB하이텍,990,B,B,B+,B,2022,전기전자
DGB금융지주,139130,A,A+,A+,A,2022,기타금융
DL,210,A,A,A+,A,2022,기타금융
DL건설,1880,A,A,A,B+,2022,건설업
DL이앤씨,375500,A,A,A,A,2022,건설업
DRB동일,4840,C,D,B+,B,2022,화학
DSR,155660,D,D,C,D,2022,철강금속
DSR제강,69730,C,D,C,B,2022,철강금속
E1,17940,B+,B+,B+,B+,2022,유통업
GKL,114090,A,B,A,A,2022,서비스업
GS,78930,A,B+,A+,A,2022,기타금융
GS건설,6360,A,A,A,A,2022,건설업
GS글로벌,1250,B+,C,B+,B+,2022,유통업
GS리테일,7070,A,B+,A,A,2022,유통업
HDC,12630,C,D,B,C,2022,기타금융
HDC현대EP,89470,C,C,B,C,2022,화학
HDC현대산업개발,294870,C,D,C,B,2022,건설업
HMM,11200,A,A+,A,B+,2022,운수창고업
HSD엔진,82740,B+,B,A,B+,2022,기계
JB금융지주,175330,A,A,A+,A,2022,기타금융
JW생명과학,234080,C,C,B+,C,2022,의약품
JW중외제약,1060,C,B,B+,D,2022,의약품
