,업종명,종목명,2012_E,2012_S,2012_G,2013_E,2013_S,2013_G,Diff_E,Diff_S,Diff_G,2012_종가,2013_종가,등락률,연도
0,1차 산업,동원,2.0,2.5,2.5,3.0,2.5,2.5,1.0,0.0,0.0,4825,4310,-0.1067357512953367,"12,13년"
1,1차 산업,동원산업,3.0,2.5,2.5,3.0,2.5,2.5,0.0,0.0,0.0,285000,284000,-0.0035087719298245,"12,13년"
2,1차 산업,동원수산,3.0,2.5,2.5,2.0,2.5,2.5,-1.0,0.0,0.0,14000,14900,0.0642857142857142,"12,13년"
3,1차 산업,사조산업,2.0,2.5,2.5,2.0,2.5,2.5,0.0,0.0,0.0,56300,29550,-0.475133214920071,"12,13년"
4,1차 산업,사조오양,3.0,2.5,2.5,3.0,2.5,2.5,0.0,0.0,0.0,13700,7450,-0.4562043795620438,"12,13년"
5,1차 산업,신라교역,3.0,2.5,2.5,3.0,2.5,2.5,0.0,0.0,0.0,24300,29250,0.2037037037037037,"12,13년"
6,건설업,GS건설,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,61400,35800,-0.4169381107491857,"12,13년"
7,건설업,경남기업,2.0,2.5,2.5,2.0,2.5,2.5,0.0,0.0,0.0,5830,3400,-0.4168096054888507,"12,13년"
8,건설업,고려개발,3.0,4.0,2.5,2.0,2.5,2.5,-1.0,-1.5,0.0,1750,1880,0.0742857142857142,"12,13년"
10,건설업,대림산업,4.0,5.0,4.0,5.0,4.0,4.0,1.0,-1.0,0.0,75900,98400,0.2964426877470356,"12,13년"
11,건설업,대우건설,4.0,2.5,2.5,4.0,5.0,5.0,0.0,2.5,2.5,9280,8590,-0.074353448275862,"12,13년"
12,건설업,동부건설,4.0,2.5,2.5,3.0,2.5,2.5,-1.0,0.0,0.0,3400,3340,-0.0176470588235294,"12,13년"
13,건설업,동아지질,3.0,2.5,2.5,3.0,2.5,2.5,0.0,0.0,0.0,9060,8730,-0.0364238410596026,"12,13년"
14,건설업,두산건설,4.0,5.0,4.0,4.0,5.0,4.0,0.0,0.0,0.0,2350,2320,-0.0127659574468085,"12,13년"
15,건설업,삼부토건,2.0,2.5,2.5,2.0,2.5,2.5,0.0,0.0,0.0,4035,5260,0.3035935563816604,"12,13년"
16,건설업,삼호,3.0,4.0,2.5,2.0,4.0,2.5,-1.0,0.0,0.0,1935,1870,-0.0335917312661498,"12,13년"
17,건설업,삼호개발,3.0,2.5,2.5,3.0,2.5,2.5,0.0,0.0,0.0,2100,2410,0.1476190476190476,"12,13년"
18,건설업,성지건설,2.0,2.5,2.5,2.0,2.5,2.5,0.0,0.0,0.0,7000,6580,-0.06,"12,13년"
19,건설업,신세계건설,2.0,2.5,2.5,2.0,4.0,2.5,0.0,1.5,0.0,11200,9950,-0.1116071428571428,"12,13년"
20,건설업,신한,2.0,2.5,2.5,2.0,2.5,2.5,0.0,0.0,0.0,4375,2095,-0.5211428571428571,"12,13년"
21,건설업,일성건설,3.0,2.5,2.5,2.0,2.5,2.5,-1.0,0.0,0.0,5210,5680,0.0902111324376199,"12,13년"
23,건설업,코오롱글로벌,3.0,2.5,2.5,4.0,2.5,2.5,1.0,0.0,0.0,3140,3870,0.232484076433121,"12,13년"
24,건설업,태영건설,3.0,2.5,2.5,4.0,2.5,2.5,1.0,0.0,0.0,5480,5720,0.0437956204379562,"12,13년"
25,건설업,한신공영,3.0,4.0,2.5,3.0,2.5,2.5,0.0,-1.5,0.0,7120,11200,0.5730337078651685,"12,13년"
26,건설업,한전KPS,3.0,5.0,2.5,3.0,5.0,2.5,0.0,0.0,0.0,60000,53800,-0.1033333333333333,"12,13년"
27,건설업,현대건설,4.0,5.0,4.0,4.0,4.0,4.0,0.0,-1.0,0.0,65700,60900,-0.0730593607305936,"12,13년"
28,건설업,화성산업,4.0,2.5,2.5,4.0,2.5,2.5,0.0,0.0,0.0,3610,5580,0.5457063711911357,"12,13년"
29,금융 및 보험업,DGB금융지주,5.0,2.5,4.0,5.0,2.5,4.0,0.0,0.0,0.0,13800,17000,0.2318840579710145,"12,13년"
30,금융 및 보험업,KB금융,6.0,6.0,5.0,6.0,6.0,6.0,0.0,0.0,1.0,37100,42000,0.1320754716981132,"12,13년"
31,금융 및 보험업,KTB투자증권,4.0,2.5,2.0,4.0,2.5,2.5,0.0,0.0,0.5,2065,2380,0.1525423728813559,"12,13년"
32,금융 및 보험업,NH농협증권,4.0,2.5,2.5,3.0,2.5,2.5,-1.0,0.0,0.0,5040,4800,-0.0476190476190476,"12,13년"
