종목명,ESG 통합등급,2016_E,2016_S,2016_G,평가연도
AJ네트웍스,B이하,C,B이하,B이하,2016
AJ렌터카,B이하,C,B이하,B이하,2016
AK홀딩스,B이하,B,B이하,B이하,2016
BGF,B이하,B,B+,B이하,2016
BNK금융지주,A,A+,B+,B이하,2016
BYC,B이하,C,B이하,B이하,2016
CJ,B+,B+,A,B+,2016
CJ CGV,B이하,C,B+,B이하,2016
CJ대한통운,A,B+,A,A,2016
CJ씨푸드,B이하,B,B이하,B이하,2016
CJ제일제당,B+,B,B+,A,2016
CJ헬로,B이하,C,B이하,B이하,2016
CS홀딩스,B이하,C,B이하,B이하,2016
DB,B이하,C,B이하,B이하,2016
DB금융투자,B이하,B+,B이하,B이하,2016
DB손해보험,A,A+,A,B+,2016
DB하이텍,B+,B,B+,B+,2016
DGB금융지주,A+,A+,A+,A,2016
DRB동일,B이하,B,B이하,B이하,2016
DSR,B이하,C,B이하,B이하,2016
DSR제강,B이하,C,B이하,B이하,2016
E1,B+,B+,B+,B이하,2016
F&F,B이하,B,B이하,B이하,2016
GKL,B이하,B,B+,B이하,2016
GS,B이하,B,B이하,B이하,2016
GS건설,B+,B+,B+,A,2016
GS글로벌,B이하,B,B이하,B이하,2016
GS리테일,B이하,B,B이하,B이하,2016
JB금융지주,B이하,A+,B이하,B이하,2016
JW중외제약,B이하,B,B이하,B이하,2016
JW홀딩스,B이하,C,B+,B이하,2016
KB금융,A+,A+,A+,A,2016
KB손해보험,B+,A,B이하,B이하,2016
KB캐피탈,B+,A+,B이하,B이하,2016
KC그린홀딩스,B이하,B,A,B이하,2016
KC코트렐,B이하,B,B이하,B이하,2016
KEC,B이하,C,B이하,B+,2016
KGP,B이하,B,B이하,B이하,2016
KG케미칼,B이하,C,B이하,B이하,2016
KISCO홀딩스,B이하,B,B이하,B이하,2016
KPX그린케미칼,B이하,B,B이하,B+,2016
KPX케미칼,B이하,B,B이하,B이하,2016
KPX홀딩스,B이하,B,B이하,B이하,2016
KR모터스,B이하,B,B이하,B이하,2016
KSS해운,B+,B,A,B이하,2016
KTB투자증권,B이하,B+,B이하,B이하,2016
KTcs,B이하,B+,B+,B이하,2016
LF,B이하,B,B이하,B이하,2016
LG,B+,A,B+,B이하,2016
LG디스플레이,B+,B+,A,B+,2016
LG상사,B+,B+,A,B+,2016
LG생명과학,B+,B+,A,B+,2016
LG생활건강,A,B+,A+,A,2016
LG유플러스,B+,B+,B+,A,2016
LG이노텍,A,A,A+,A,2016
LG전자,A,B,A+,A,2016
LG하우시스,A,B+,A+,A,2016
LG화학,B+,B,B+,B+,2016
LS,B이하,B,B이하,B이하,2016
LS네트웍스,B이하,C,B이하,B이하,2016
LS산전,A,B+,A+,A,2016
MH에탄올,B이하,B,B이하,B이하,2016
NAVER,B+,B,B+,B+,2016
NHN엔터테인먼트,B이하,C,B이하,B이하,2016
NH투자증권,B+,A+,B+,B이하,2016
NICE,B이하,B,B이하,B이하,2016
NI스틸,B이하,B,B이하,B이하,2016
OCI,B+,B+,A,B+,2016
S&TC,B이하,B,B이하,B이하,2016
S&T모티브,B이하,B,B이하,B+,2016
S&T중공업,B이하,B,B+,B이하,2016
S&T홀딩스,B이하,B,B이하,B이하,2016
S-Oil,A+,A+,A+,A,2016
SBS,B이하,B,B이하,B이하,2016
SBS미디어홀딩스,B이하,B,B이하,B이하,2016
SG세계물산,B이하,C,B이하,B이하,2016
SG충방,B이하,C,B이하,B이하,2016
SH에너지화학,B이하,B,B이하,B이하,2016
SIMPAC,B이하,C,B이하,B이하,2016
SK,A,A,A+,A,2016
SKC,B+,B+,B+,A,2016
SK가스,B이하,B+,B+,B이하,2016
SK네트웍스,B+,A,B+,B이하,2016
SK디스커버리,B+,B+,B+,B+,2016
SK이노베이션,A,A+,B+,A,2016
SK증권,B+,A,B+,B이하,2016
SK텔레콤,A,A,B+,A,2016
SK하이닉스,B+,A,B+,B+,2016
SPC삼립,B이하,B,B이하,B이하,2016
STX,B이하,C,B+,B이하,2016
STX엔진,B+,B,B+,B+,2016
STX중공업,B이하,D,B+,B+,2016
TCC동양,B이하,C,B이하,B+,2016
WISCOM,B이하,B+,B이하,B이하,2016
YG PLUS,B이하,C,B이하,B이하,2016
가온전선,B이하,B,B이하,B+,2016
강남제비스코,B이하,B,B이하,B이하,2016
강원랜드,A,B+,A,A,2016
갤럭시아에스엠,B이하,C,B이하,B이하,2016
경농,B이하,B,B+,B이하,2016
경동나비엔,B이하,C,B이하,B이하,2016
경동인베스트,B이하,C,B+,B이하,2016
경방,B이하,C,B이하,B이하,2016
경인양행,B이하,B,B이하,B이하,2016
경인전자,B이하,B,B이하,B이하,2016
계룡건설산업,B+,B+,B+,B이하,2016
계양전기,B이하,B,B이하,B이하,2016
고려개발,B이하,C,B+,B이하,2016
고려산업,B이하,B,B이하,B이하,2016
고려아연,B이하,B+,B이하,B이하,2016
고려제강,B이하,D,B이하,B+,2016
골든브릿지증권,B이하,B,B이하,B이하,2016
광동제약,B이하,B,B이하,B이하,2016
광명전기,B이하,C,B이하,B이하,2016
광전자,B이하,B+,B이하,B이하,2016
광주신세계,B이하,B,B이하,B이하,2016
광주은행,B+,A+,B이하,B이하,2016
교보증권,B+,A+,B+,B이하,2016
국도화학,B이하,C,B이하,B+,2016
국동,B이하,B,B이하,B이하,2016
국보,B이하,C,B이하,B이하,2016
국제약품,B이하,B+,B이하,B이하,2016
극동유화,B이하,B,B이하,B이하,2016
금강공업,B이하,C,B이하,B이하,2016
금비,B이하,C,B이하,B이하,2016
금양,B이하,B,B이하,B이하,2016
금호산업,B이하,B,B이하,B+,2016
금호석유화학,B+,B,B+,B+,2016
금호전기,B이하,B,B이하,B이하,2016
금호타이어,B+,C,A+,B+,2016
기신정기,B이하,B,B이하,B이하,2016
기아자동차,B+,C,A,A,2016
기업은행,B+,B+,B+,B이하,2016
까뮤이앤씨,B이하,B+,B이하,B이하,2016
깨끗한나라,B이하,B,B이하,B+,2016
나노메딕스,B이하,D,B이하,B이하,2016
남광토건,B이하,C,B이하,B이하,2016
남선알미늄,B이하,B,B이하,B이하,2016
남성,B이하,C,B이하,B이하,2016
남양유업,B이하,D,B+,B이하,2016
남영비비안,B이하,B,B이하,B이하,2016
남해화학,B이하,B,B이하,B+,2016
넥센,B이하,B,B이하,B+,2016
넥센타이어,B+,B+,B+,B+,2016
노루페인트,B이하,B,B이하,B이하,2016
노루홀딩스,B이하,D,B이하,B이하,2016
녹십자,B이하,C,B+,B이하,2016
녹십자홀딩스,B이하,B,B+,B이하,2016
농심,B이하,D,B이하,B+,2016
농심홀딩스,B이하,C,B이하,B이하,2016
다우기술,B이하,B,B이하,B이하,2016
다우인큐브,B이하,C,B이하,B이하,2016
대경기계기술,B이하,B,B이하,B이하,2016
대교,B+,A,B+,B이하,2016
대구백화점,B이하,B+,B+,B이하,2016
대덕GDS,B+,B+,B이하,B+,2016
대덕전자,B이하,B,B이하,B+,2016
대동공업,B이하,C,B이하,B이하,2016
대동전자,B이하,B,B이하,B이하,2016
대림비앤코,B이하,B,B이하,B이하,2016
대림산업,B+,B,B이하,A,2016
대림통상,B이하,C,B이하,B이하,2016
대상,B이하,C,B+,B이하,2016
대상홀딩스,B이하,B,B이하,B이하,2016
대성산업,B이하,C,B이하,B이하,2016
대성에너지,B이하,C,B이하,B이하,2016
대성합동지주,B이하,B,B이하,B이하,2016
대성홀딩스,B이하,B,B이하,B이하,2016
대신증권,B이하,A,B이하,B이하,2016
대양금속,B이하,B,B이하,B+,2016
대영포장,B이하,C,B이하,B이하,2016
대우건설,B+,B,A,A,2016
대우부품,B이하,B,B이하,B이하,2016
대우조선해양,B+,C,B+,A,2016
대웅,B이하,C,B이하,B이하,2016
대웅제약,B이하,C,B+,B이하,2016
대원강업,B이하,B,B이하,B이하,2016
대원전선,B이하,B,B이하,B이하,2016
대원제약,B이하,B+,B+,B이하,2016
대원화성,B이하,B,B이하,B+,2016
대유에이텍,B이하,C,B이하,B이하,2016
대유플러스,B이하,D,B이하,B이하,2016
대창,B이하,C,B이하,B+,2016
대창단조,B이하,B,B이하,B+,2016
대한방직,B이하,B,B이하,B이하,2016
대한유화,B이하,C,B+,B이하,2016
대한전선,B이하,B,B이하,B+,2016
대한제강,B이하,C,B이하,B+,2016
대한제당,B이하,B,B이하,B이하,2016
대한제분,B이하,B,B이하,B이하,2016
대한항공,B+,C,B+,A,2016
대한해운,B이하,B,B이하,B이하,2016
대한화섬,B이하,B,B이하,B이하,2016
대현,B이하,B,B이하,B이하,2016
대호에이엘,B이하,B,B이하,B+,2016
더존비즈온,B이하,B,B이하,B이하,2016
덕성,B이하,C,B이하,B이하,2016
덕양산업,B이하,B,B이하,B이하,2016
도레이케미칼,B이하,C,B+,B+,2016
도화엔지니어링,B이하,B+,B이하,B이하,2016
동국실업,B이하,C,B이하,B이하,2016
동국제강,B이하,C,B+,B+,2016
동남합성,B이하,C,B이하,B이하,2016
동방,B이하,B,B이하,B이하,2016
동방아그로,B이하,B,B이하,B이하,2016
동부제철,B+,B,B이하,A,2016
동성제약,B이하,C,B이하,B이하,2016
