,기업,ESG등급,환경,사회,지배구조,평가년도
792,AJ네트웍스,B,D,B,B,2020
793,AK홀딩스,B+,C,B+,B+,2020
794,BGF,B+,B,A,B+,2020
795,BGF리테일,A,B+,B+,A,2020
796,BNK금융지주,A+,B+,A+,A+,2020
797,BYC,B,D,B,B+,2020
798,CJ,A,B,A,A,2020
799,CJ CGV,A,B,A,A,2020
800,CJ대한통운,A,A,B,A,2020
801,CJ씨푸드,B,C,B+,B+,2020
802,CJ제일제당,A,A,A+,A,2020
803,CS홀딩스,C,D,C,B,2020
804,DB,B,D,B,B,2020
805,DB금융투자,B,D,A,B,2020
806,DB손해보험,B+,A,A,B+,2020
807,DB하이텍,B+,B+,A,B+,2020
808,DGB금융지주,A+,A,A+,A+,2020
809,DL,B+,A,B+,B+,2020
810,DL건설,B,B,B+,B,2020
811,DL이앤씨,-,-,-,-,2020
812,DN오토모티브,B,B,C,B,2020
813,DRB동일,B,B,B,B,2020
814,DSR,C,B,B,C,2020
815,DSR제강,C,C,B,C,2020
816,E1,B,C,A,B+,2020
817,ESR켄달스퀘어리츠,-,-,-,-,2020
818,F&F,-,-,-,-,2020
819,F&F 홀딩스,D,D,C,C,2020
820,GKL,B+,C,A,A,2020
821,GS,B+,C,A,A,2020
822,GS건설,A,A,B+,A,2020
823,GS글로벌,B,D,B+,B+,2020
824,GS리테일,B,C,B,B+,2020
825,HDC,B+,C,B+,B+,2020
826,HDC랩스,C,D,C,B,2020
827,HDC현대EP,B,B,B+,B,2020
828,HDC현대산업개발,C,C,C,B+,2020
829,HD현대,A,B+,A,A,2020
830,HJ중공업,B,B,B,B+,2020
831,HL D&I,B+,B,B+,B+,2020
832,HLB글로벌,C,D,B,C,2020
833,HL만도,A,A,A+,A,2020
834,HL홀딩스,B+,B,B+,A,2020
835,HMM,A,A,A+,A,2020
836,HSD엔진,A,B+,A,A,2020
837,JB금융지주,A+,A,A,A+,2020
838,JW생명과학,B+,B+,B+,B+,2020
839,JW중외제약,B,B,B+,B,2020
840,JW홀딩스,B+,C,B+,B+,2020
841,KB금융,A+,A+,A+,A+,2020
842,KC그린홀딩스,B,B,B+,B,2020
843,KC코트렐,B,B,B,B,2020
844,KEC,B,B+,B+,C,2020
845,KG스틸,B,B,B+,B,2020
846,KG케미칼,D,C,C,D,2020
847,KH 필룩스,C,C,B,B,2020
848,KISCO홀딩스,C,B,B,C,2020
849,KPX케미칼,B,B,C,B,2020
850,KPX홀딩스,C,C,C,B,2020
851,KR모터스,C,D,C,B,2020
852,KSS해운,B+,B,B+,B+,2020
853,KTcs,B,D,B+,B+,2020
854,KTis,B,D,B+,B+,2020
855,LF,B,D,B,B+,2020
856,LG,A,B+,A+,B+,2020
857,LG디스플레이,B+,B,A,B+,2020
858,LG생활건강,A,A,A+,A,2020
859,LG에너지솔루션,-,-,-,-,2020
860,LG유플러스,B,B+,B+,B,2020
861,LG이노텍,A,A,A+,B+,2020
862,LG전자,B+,A,A+,B,2020
863,LG헬로비전,B+,D,B+,A,2020
864,LG화학,B,C,A,B+,2020
865,LIG넥스원,A,B+,A,A,2020
866,LS,B+,B,B+,A,2020
867,LS네트웍스,B,D,B+,B,2020
868,LS전선아시아,B,D,C,B+,2020
869,LX세미콘,B,C,B+,B+,2020
870,LX인터내셔널,A,A,A+,A,2020
871,LX하우시스,A,A,A+,A,2020
872,LX홀딩스,-,-,-,-,2020
873,MH에탄올,B,C,B,B+,2020
874,NAVER,A,B+,B+,A+,2020
875,NH투자증권,B+,B,A+,B+,2020
876,NICE,B,D,B,B+,2020
877,NI스틸,C,D,C,B,2020
878,OCI,A,A,A+,A,2020
879,PI첨단소재,B,C,B,B+,2020
880,POSCO홀딩스,A,A,B,A+,2020
881,S-Oil,A+,A,A+,A+,2020
882,SBS,B,C,B,B+,2020
883,SGC에너지,C,C,B,C,2020
884,SG글로벌,D,C,C,D,2020
885,SG세계물산,C,D,B,C,2020
886,SHD,D,D,C,D,2020
887,SH에너지화학,C,C,C,B+,2020
888,SIMPAC,C,C,B,C,2020
889,SK,A+,A,A+,A+,2020
890,SKC,B+,B+,A+,B,2020
891,SK가스,A,B+,A+,A,2020
892,SK네트웍스,A,B+,A+,A,2020
893,SK디스커버리,A,B,A,A,2020
894,SK디앤디,B,C,B,B+,2020
895,SK렌터카,B,B,C,B,2020
896,SK바이오사이언스,-,-,-,-,2020
897,SK스퀘어,-,-,-,-,2020
898,SK아이이테크놀로지,-,-,-,-,2020
899,SK이노베이션,A,A,A,A,2020
900,SK증권,B,D,A,B,2020
