기업명,기업코드,ESG등급,환경,사회,지배구조,평가년도
AJ네트웍스,095570,B+,C,B+,B+,2022
AK홀딩스,006840,B+,B,A,B,2022
AP시스템,265520,D,D,C,C,2022
BGF,027410,B+,A,A+,B,2022
BGF리테일,282330,A,A,A+,A,2022
BNK금융지주,138930,A,A,A,A,2022
BNK캐피탈,801190,-,-,-,B+,2022
BYC,001460,D,D,D,D,2022
CJ,001040,B+,B+,A,B+,2022
CJ CGV,079160,B+,B,B+,B+,2022
CJ ENM,035760,B+,B+,A,B,2022
CJ대한통운,000120,B+,B+,A+,B,2022
CJ씨푸드,011150,B,C,B,B,2022
CJ제일제당,097950,A,A,A,B+,2022
CJ프레시웨이,051500,A,B,A,A,2022
CMG제약,058820,D,D,D,D,2022
CS홀딩스,000590,C,D,D,B,2022
DB,012030,B,D,B,B+,2022
DB금융투자,016610,B,C,B,B,2022
DB생명보험,818158,-,-,-,B+,2022
DB손해보험,005830,B+,B+,A,B+,2022
DB하이텍,000990,B,B,B+,B,2022
DGB금융지주,139130,A,A+,A+,A,2022
DGB생명보험,813363,-,-,-,B+,2022
DL,000210,A,A,A+,A,2022
DL건설,001880,A,A,A,B+,2022
DL이앤씨,375500,A,A,A,A,2022
DRB동일,004840,C,D,B+,B,2022
DSR,155660,D,D,C,D,2022
DSR제강,069730,C,D,C,B,2022
E1,017940,B+,B+,B+,B+,2022
F&F 홀딩스,007700,B,B,B+,B,2022
GKL,114090,A,B,A,A,2022
GS,078930,A,B+,A+,A,2022
GS건설,006360,A,A,A,A,2022
GS글로벌,001250,B+,C,B+,B+,2022
GS리테일,007070,A,B+,A,A,2022
HDC,012630,C,D,B,C,2022
HDC랩스,039570,D,D,D,D,2022
HDC현대EP,089470,C,C,B,C,2022
HDC현대산업개발,294870,C,D,C,B,2022
HD현대,267250,A,B+,A,A,2022
HJ중공업,097230,B,C,B+,B+,2022
HL D&I,014790,B+,B+,A,B+,2022
HLB,028300,C,C,B,D,2022
HLB생명과학,067630,C,D,B,B,2022
HL글로벌,003580,D,D,C,D,2022
HMM,011200,A,A+,A,B+,2022
HSD엔진,082740,B+,B,A,B+,2022
JB금융지주,175330,A,A,A+,A,2022
JW생명과학,234080,C,C,B+,C,2022
JW중외제약,001060,C,B,B+,D,2022
JW홀딩스,096760,B+,C,B+,B+,2022
JYP Ent.,035900,B,C,A,B,2022
KB금융지주,105560,A+,A+,A+,A+,2022
KB손해보험,002550,-,-,-,A,2022
KB캐피탈,021960,-,-,-,A,2022
KCC건설,021320,D,D,D,D,2022
KCI,036670,C,B,B+,C,2022
KC그린홀딩스,009440,D,D,D,C,2022
KC코트렐,119650,D,D,D,C,2022
KEC,092220,C,C,D,C,2022
KG ETS,151860,D,C,D,D,2022
KG모빌리언스,046440,D,D,D,C,2022
KG스틸,016380,C,B,B+,D,2022
KG이니시스,035600,D,D,C,D,2022
KG케미칼,001390,D,D,D,D,2022
KH 필룩스,033180,D,D,C,D,2022
KH바텍,060720,B+,B,A,B+,2022
KISCO홀딩스,001940,C,C,D,C,2022
KPX케미칼,025000,D,C,C,D,2022
KPX홀딩스,092230,C,D,C,C,2022
KR모터스,000040,D,D,D,D,2022
KSS해운,044450,B+,B+,A,B+,2022
KTcs,058850,A,B+,A,A,2022
KTis,058860,B+,B+,B+,B+,2022
KT서브마린,060370,C,D,D,B+,2022
LF,093050,B,D,B,B+,2022
LG,003550,A,B+,A+,A,2022
LG디스플레이,034220,A,A,A,B+,2022
LG생활건강,051900,A,A,A+,A,2022
LG유플러스,032640,A,A,A,A,2022
LG이노텍,011070,A,A,A+,A,2022
LG전자,066570,A,A,A+,A,2022
LG헬로비전,037560,A,B,A,A,2022
LG화학,051910,B,C,A,B+,2022
LIG넥스원,079550,A,A,A+,A,2022
LS,006260,C,B+,A,C,2022
LS네트웍스,000680,B,C,B+,B,2022
LS전선아시아,229640,C,D,D,B,2022
LX세미콘,108320,A,A,A+,B+,2022
LX인터내셔널,001120,A,B+,A,A,2022
LX하우시스,108670,A,B+,A,A,2022
MH에탄올,023150,C,C,D,B,2022
NAVER,035420,A,A,A,A,2022
NHN한국사이버결제,060250,C,D,B,C,2022
NH농협손해보험,839719,-,-,-,A,2022
NH투자증권,005940,B+,A,A,B+,2022
NICE,034310,B+,C,B+,B+,2022
NICE평가정보,030190,B,B,B+,B,2022
NI스틸,008260,D,D,D,C,2022
OCI,010060,A,B+,A,A,2022
POSCO홀딩스,005490,A,A,A,A+,2022
RFHIC,218410,C,D,D,B,2022
S-Oil,010950,A,B,A+,A+,2022
SBS,034120,C,D,D,B+,2022
SBS콘텐츠허브,046140,C,D,D,B,2022
SFA반도체,036540,D,C,C,D,2022
SGC에너지,005090,B+,B+,A,B+,2022
SGC이테크건설,016250,B,B,B,B,2022
SG글로벌,001380,D,D,D,D,2022
SG세계물산,004060,D,D,D,D,2022
SHD,001770,D,D,D,C,2022
