종목코드,종목명,시장구분,업종명,종가,대비,등락률,시가총액
"068400","AJ렌터카","KOSPI","서비스업","17600","-50","-0.28","389774880000"
"006840","AK홀딩스","KOSPI","서비스업","62100","300","0.49","822673538100"
"027410","BGF리테일","KOSPI","유통업","63500","0","0.00","1564645080000"
"138930","BS금융지주","KOSPI","기타금융","16500","-400","-2.37","3867268333500"
"001460","BYC","KOSPI","섬유의복","297000","-3000","-1.00","185510655000"
"001465","BYC우","KOSPI","섬유의복","217500","500","0.23","46846237500"
"001040","CJ","KOSPI","서비스업","174500","500","0.29","5073168351000"
"079160","CJ CGV","KOSPI","서비스업","52200","-1300","-2.43","1104620538600"
"000120","CJ대한통운","KOSPI","운수창고업","167000","-500","-0.30","3809661448000"
"011150","CJ씨푸드","KOSPI","음식료품","2710","-110","-3.90","97372394830"
"011155","CJ씨푸드1우","KOSPI","음식료품","6990","-10","-0.14","1398000000"
"001045","CJ우","KOSPI","서비스업","99900","-1100","-1.09","225796277700"
"097950","CJ제일제당","KOSPI","음식료품","378000","-9500","-2.45","4958652384000"
"097955","CJ제일제당 우","KOSPI","음식료품","214000","-4000","-1.83","284070662000"
"037560","CJ헬로비전","KOSPI","서비스업","12850","-200","-1.53","995192215250"
"000590","CS홀딩스","KOSPI","서비스업","84000","-500","-0.59","96976488000"
"139130","DGB금융지주","KOSPI","기타금융","16500","-300","-1.79","2211877041000"
"004840","DRB동일","KOSPI","서비스업","17250","-650","-3.63","301875000000"
"155660","DSR","KOSPI","섬유의복","4140","-95","-2.24","66240000000"
"069730","DSR제강","KOSPI","철강금속","3590","-5","-0.14","51696000000"
"017940","E1","KOSPI","유통업","68000","200","0.29","466480000000"
"007700","F&F","KOSPI","섬유의복","12600","-250","-1.95","194040000000"
"114090","GKL","KOSPI","서비스업","40600","-1350","-3.22","2511340202000"
"078930","GS","KOSPI","서비스업","40200","-100","-0.25","3735198195600"
"006360","GS건설","KOSPI","건설업","35100","-1550","-4.23","2492100000000"
"001250","GS글로벌","KOSPI","유통업","9500","0","0.00","214070758000"
"007070","GS리테일","KOSPI","유통업","25950","-100","-0.38","1998150000000"
"078935","GS우","KOSPI","서비스업","30100","-350","-1.15","53723262600"
"035000","GⅡR","KOSPI","서비스업","8010","0","0.00","132704946090"
"001500","HMC투자증권","KOSPI","증권","11400","-150","-1.30","334443065400"
"011420","IB월드와이드","KOSPI","서비스업","2460","-80","-3.15","48271163040"
"003560","IHQ","KOSPI","서비스업","2710","-60","-2.17","111042840780"
"175330","JB금융지주","KOSPI","기타금융","6910","-150","-2.12","874142273770"
"001060","JW중외제약","KOSPI","의약품","15450","-400","-2.52","225615932850"
"001067","JW중외제약2우B","KOSPI","의약품","16100","-250","-1.53","1210607300"
"001065","JW중외제약우","KOSPI","의약품","11300","-300","-2.59","1617222100"
"096760","JW홀딩스","KOSPI","서비스업","2635","10","0.38","142151586085"
"105560","KB금융","KOSPI","기타금융","37600","-950","-2.46","14526823656800"
"002380","KCC","KOSPI","화학","705000","-14000","-1.95","7416600000000"
"009070","KCTC","KOSPI","운수창고업","3130","-70","-2.19","93900000000"
"009440","KC그린홀딩스","KOSPI","서비스업","8670","-380","-4.20","194511276600"
"119650","KC코트렐","KOSPI","기계","6380","-360","-5.34","63800000000"
"092220","KEC","KOSPI","전기전자","1330","45","3.50","78533020720"
"109070","KGP","KOSPI","종이목재","775","-36","-4.44","10404723750"
"001390","KG케미칼","KOSPI","화학","14850","-150","-1.00","161247136050"
"001940","KISCO홀딩스","KOSPI","서비스업","50400","100","0.20","186241910400"
"083420","KPX그린케미칼","KOSPI","화학","6200","-110","-1.74","124000000000"
"025000","KPX케미칼","KOSPI","화학","58500","-600","-1.02","283140000000"
"092230","KPX홀딩스","KOSPI","서비스업","73800","-100","-0.14","311778874800"
"025850","KPX화인케미칼","KOSPI","화학","18450","-50","-0.27","70110000000"
"000040","KR모터스","KOSPI","운수장비","848","-29","-3.31","101201489392"
"044450","KSS해운","KOSPI","운수창고업","15800","100","0.64","183168452000"
"030200","KT","KOSPI","통신업","34450","150","0.44","8995301785600"
"033780","KT&G","KOSPI","기타제조업","94000","-500","-0.53","12905494718000"
"030210","KTB투자증권","KOSPI","증권","2165","-30","-1.37","130580009180"
"058850","KTcs","KOSPI","서비스업","3090","5","0.16","131896650000"
"093050","LF","KOSPI","섬유의복","34950","-50","-0.14","1021938000000"
"003550","LG","KOSPI","서비스업","74000","-2800","-3.65","12769227694000"
"034220","LG디스플레이","KOSPI","전기전자","32650","-1350","-3.97","11682682605000"
"001120","LG상사","KOSPI","유통업","24850","-850","-3.31","963186000000"
"068870","LG생명과학","KOSPI","의약품","36550","-650","-1.75","605888984500"
"068875","LG생명과학우","KOSPI","의약품","23950","-50","-0.21","5657373200"
"051900","LG생활건강","KOSPI","화학","505000","-2000","-0.39","7887189485000"
"051905","LG생활건강우","KOSPI","화학","267000","-7000","-2.55","560619099000"
"003555","LG우","KOSPI","서비스업","47100","-900","-1.88","156121286700"
"032640","LG유플러스","KOSPI","통신업","12400","50","0.40","5413980876400"
"011070","LG이노텍","KOSPI","전기전자","117000","2000","1.74","2769051519000"
"066570","LG전자","KOSPI","전기전자","62800","-2900","-4.41","10277082719200"
"066575","LG전자우","KOSPI","전기전자","33850","-1650","-4.65","581745829200"
"108670","LG하우시스","KOSPI","화학","212000","3000","1.44","1901146040000"
"108675","LG하우시스우","KOSPI","화학","114500","-500","-0.43","118201785000"
"051910","LG화학","KOSPI","화학","249000","-6500","-2.54","16501503900000"
"051915","LG화학우","KOSPI","화학","156500","-7500","-4.57","1193926136500"
"002550","LIG손해보험","KOSPI","보험","27300","-600","-2.15","1638000000000"
"006260","LS","KOSPI","서비스업","65400","-1400","-2.10","2105880000000"
"000680","LS네트웍스","KOSPI","유통업","5000","-170","-3.29","387969315000"
"000687","LS네트웍스전환상환2우B","KOSPI","유통업","5010","-90","-1.76","6034139190"
"010120","LS산전","KOSPI","전기전자","58600","-100","-0.17","1758000000000"
"023150","MH에탄올","KOSPI","음식료품","9950","870","9.58","73416333700"
"035420","NAVER","KOSPI","서비스업","804000","-3000","-0.37","26501993916000"
"181710","NHN엔터테인먼트","KOSPI","서비스업","87500","5000","6.06","1326939687500"
"016420","NH농협증권","KOSPI","증권","7600","-400","-5.00","912950220400"
"034310","NICE","KOSPI","서비스업","15950","400","2.57","604222685000"
"008260","NI스틸","KOSPI","철강금속","2660","-60","-2.21","75615421000"
"004250","NPC","KOSPI","화학","6270","60","0.97","230234400000"
"004255","NPC우","KOSPI","화학","2940","-15","-0.51","15523200000"
"010060","OCI","KOSPI","화학","128000","-2000","-1.54","3052719488000"
"005490","POSCO","KOSPI","철강금속","317500","-11000","-3.35","27681820112500"
"100840","S&TC","KOSPI","기계","16950","-50","-0.29","120084173400"
"064960","S&T모티브","KOSPI","운수장비","36350","-50","-0.14","523563081100"
"003570","S&T중공업","KOSPI","운수장비","10400","50","0.48","337723765600"
"036530","S&T홀딩스","KOSPI","서비스업","18850","-200","-1.05","281306523550"
"010950","S-Oil","KOSPI","화학","41800","-1000","-2.34","4705960705600"
"010955","S-Oil우","KOSPI","화학","36250","-900","-2.42","145794853750"
"950100","SBI모기지","KOSPI","기타금융","17850","50","0.28","423776850000"
"034120","SBS","KOSPI","서비스업","28450","-650","-2.23","519285957900"
"101060","SBS미디어홀딩스","KOSPI","서비스업","3320","-165","-4.73","464455350800"
"004060","SG세계물산","KOSPI","유통업","650","-12","-1.81","131576224000"
"001380","SG충남방적","KOSPI","섬유의복","1550","-150","-8.82","64708578500"
"002360","SH에너지화학","KOSPI","화학","1090","20","1.87","121135765700"
"009160","SIMPAC","KOSPI","기계","6110","-10","-0.16","177708891750"
"123700","SJM","KOSPI","운수장비","8270","-60","-0.72","129052506460"
"025530","SJM홀딩스","KOSPI","서비스업","5150","130","2.59","76910141200"
"003600","SK","KOSPI","서비스업","183000","-5500","-2.92","8594011596000"
"034730","SK C&C","KOSPI","서비스업","248500","6000","2.47","12425000000000"
"011790","SKC","KOSPI","화학","30050","-1500","-4.75","1092242765650"
"018670","SK가스","KOSPI","유통업","139500","-1000","-0.71","1215339345000"
"001740","SK네트웍스","KOSPI","유통업","10100","-500","-4.72","2506695234700"
"001745","SK네트웍스우","KOSPI","유통업","16850","0","0.00","1914968800"
"003605","SK우","KOSPI","서비스업","144500","-4000","-2.69","73683440000"
"096770","SK이노베이션","KOSPI","서비스업","76500","-4600","-5.67","7073615646000"
