종목코드,종목명,시장구분,업종명,종가,대비,등락률,시가총액
"060310","3S","KOSDAQ","기계·장비","2660","-15","-0.56","118093035480"
"054620","APS홀딩스","KOSDAQ","금융","5270","-90","-1.68","107477544670"
"265520","AP시스템","KOSDAQ","반도체","25200","-700","-2.70","355307677200"
"211270","AP위성","KOSDAQ","통신장비","8490","10","0.12","127475685960"
"032040","C&S자산관리","KOSDAQ","기타서비스","1300","50","4.00","14188158400"
"035760","CJ ENM","KOSDAQ","방송서비스","255700","7700","3.10","5606576388800"
"051500","CJ프레시웨이","KOSDAQ","유통","31450","250","0.80","373361379700"
"058820","CMG제약","KOSDAQ","제약","5540","-230","-3.99","603235331760"
"023460","CNH","KOSDAQ","금융","1440","-10","-0.69","53568000000"
"065770","CS","KOSDAQ","통신장비","2285","-45","-1.93","43038317750"
"083660","CSA 코스믹","KOSDAQ","화학","9950","-350","-3.40","196489027950"
"045890","DB라이텍","KOSDAQ","일반전기전자","1685","-5","-0.30","44797795865"
"068790","DMS","KOSDAQ","기계·장비","6480","-120","-1.82","149120915760"
"241520","DSC인베스트먼트","KOSDAQ","금융","5220","100","1.95","91350000000"
"245620","EDGC","KOSDAQ","기타서비스","7330","-360","-4.68","264781150200"
"037370","EG","KOSDAQ","유통","9130","30","0.33","68475000000"
"079190","EMW","KOSDAQ","통신장비","2780","0","0.00","88360067660"
"130500","GH신소재","KOSDAQ","섬유·의류","3320","-20","-0.60","36520000000"
"032860","GMR 머티리얼즈","KOSDAQ","기타서비스","813","24","3.04","54925336920"
"900290","GRT","KOSDAQ","금융","2400","-30","-1.23","161700000000"
"083450","GST","KOSDAQ","반도체","5810","-70","-1.19","54136098450"
"028150","GS홈쇼핑","KOSDAQ","방송서비스","201200","-1300","-0.64","1320375000000"
"078150","HB테크놀러지","KOSDAQ","기계·장비","2810","30","1.08","221963097060"
"036640","HRS","KOSDAQ","화학","3545","0","0.00","57977766000"
"299170","IBKS제10호스팩","KOSDAQ","금융","2125","-20","-0.93","9201250000"
"254120","IBKS제5호스팩","KOSDAQ","금융","2200","0","0.00","9900000000"
"264850","IBKS제6호스팩","KOSDAQ","금융","2105","-10","-0.47","9083075000"
"276920","IBKS제7호스팩","KOSDAQ","금융","2410","-5","-0.21","8796500000"
"297570","IBKS제9호스팩","KOSDAQ","금융","2710","-20","-0.73","7479600000"
"095340","ISC","KOSDAQ","반도체","11300","-650","-5.44","156729350200"
"099520","ITX엠투엠","KOSDAQ","통신장비","1485","-20","-1.33","24452204535"
"950170","JTC","KOSDAQ","유통","8620","-130","-1.49","301747556540"
"067290","JW신약","KOSDAQ","제약","8600","-320","-3.59","357085811600"
"035900","JYP Ent.","KOSDAQ","오락·문화","38100","1000","2.70","1329276043500"
"024120","KB오토시스","KOSDAQ","운송장비·부품","6030","20","0.33","69345000000"
"021320","KCC건설","KOSDAQ","건설","10000","-100","-0.99","214000000000"
"036670","KCI","KOSDAQ","화학","9310","80","0.87","104923700000"
"044180","KD건설","KOSDAQ","건설","112","-3","-2.61","39837471968"
"151860","KG ETS","KOSDAQ","기타서비스","3825","0","0.00","137700000000"
"046440","KG모빌리언스","KOSDAQ","소프트웨어","7770","20","0.26","232377055890"
"035600","KG이니시스","KOSDAQ","소프트웨어","18550","200","1.09","517627250700"
"060720","KH바텍","KOSDAQ","IT부품","9380","-120","-1.26","190051978900"
"083470","KJ프리텍","KOSDAQ","IT부품","943","-27","-2.78","20743310564"
"122450","KMH","KOSDAQ","방송서비스","7880","-20","-0.25","171651876040"
"052900","KMH하이텍","KOSDAQ","반도체","1095","-45","-3.95","51339621405"
"058400","KNN","KOSDAQ","방송서비스","902","-6","-0.66","119451607440"
"114450","KPX생명과학","KOSDAQ","제약","6670","120","1.83","100050000000"
"036030","KTH","KOSDAQ","유통","5410","-130","-2.35","193218269020"
"060370","KT서브마린","KOSDAQ","건설","4245","-60","-1.39","92965500000"
"065150","MP그룹","KOSDAQ","유통","1315","0","0.00","106263055205"
"219550","MP한강","KOSDAQ","유통","2605","100","3.99","148045458350"
