종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"060310","3S","KOSDAQ","중견기업부","2060","160","8.42","1930","2075","1900","194069","388632105","91455508680","44395878"
"095570","AJ네트웍스","KOSPI",,"4555","160","3.64","4320","4660","4320","24742","111777220","213275553725","46822295"
"068400","AJ렌터카","KOSPI",,"10700","100","0.94","10600","10850","10300","156844","1670608100","236965410000","22146300"
"006840","AK홀딩스","KOSPI",,"44600","1000","2.29","43700","44900","42500","31509","1393256050","590841220600","13247561"
"054620","APS홀딩스","KOSDAQ","우량기업부","4020","70","1.77","3895","4060","3890","37158","148747820","81984768420","20394221"
"265520","AP시스템","KOSDAQ","우량기업부","25300","50","0.20","25650","25750","24600","333810","8428899550","356717628300","14099511"
"211270","AP위성","KOSDAQ","벤처기업부","6730","300","4.67","6430","6760","6290","14133","91768120","101049630920","15014804"
"027410","BGF","KOSPI",,"7440","40","0.54","7400","7530","7400","126178","939422270","709546691760","95369179"
"282330","BGF리테일","KOSPI",,"168500","-7500","-4.26","173000","174000","166500","87537","14905191500","2912338161000","17283906"
"138930","BNK금융지주","KOSPI",,"7590","-10","-0.13","7580","7640","7490","1173412","8856587935","2473848517140","325935246"
"001460","BYC","KOSPI",,"233500","-3500","-1.48","234000","234000","227000","128","29648000","145847602500","624615"
"001465","BYC우","KOSPI",,"109000","-2000","-1.80","110000","110500","105000","278","29826000","23476965000","215385"
"001040","CJ","KOSPI",,"109000","1500","1.40","107500","109000","106500","81031","8742162000","3180292782000","29176998"
"079160","CJ CGV","KOSPI",,"40350","200","0.50","40000","40800","39150","75023","3014230350","853858979550","21161313"
"035760","CJ ENM","KOSDAQ","우량기업부","226000","-6000","-2.59","230100","233700","224700","77107","17501409500","4955362784000","21926384"
"000120","CJ대한통운","KOSPI",,"158500","6500","4.28","152000","162000","150000","103777","16400868500","3615756524000","22812344"
