회사명,거래소코드,회계년도,[공통]자산(*)(IFRS),[공통]부채비율(IFRS),[공통]자기자본구성비율(IFRS),[공통]매출액증가율(IFRS),[공통]영업활동으로 인한 현금흐름(간접법)(*)(IFRS),[공통]PBR(최고)(IFRS),[공통]PBR(최저)(IFRS),[공통]매출액(영업수익)(*),[공통]평균배당률(IFRS)
(주)BNK금융지주,138930,2013/12,3507651972,28.12,78.05,-9.17,64388577,1.24,0.94,105131084,5.6
(주)DB하이텍,000990,2013/12,1049494642,431.96,18.8,-15.44,28528798,3.25,1.79,493752028,0
(주)HJ중공업,097230,2013/12,5839633000,223.6,30.9,-2.7,-186309000,0.52,0.26,1927307000,0
(주)JB금융지주,175330,2013/12,919650000,,,,11524000,,,13537000,
(주)KB금융지주,105560,2013/12,18664542000,3.41,96.7,-58.8,236098000,0.96,0.67,285898000,10
(주)MH에탄올,023150,2013/12,122520742,160.02,38.46,1.78,5638467,0.62,0.41,46298516,0
(주)SH에너지화학,002360,2013/12,109984767,57.61,63.45,19.74,7500585,2.32,1.16,229783541,2.98
(주)SIMPAC,009160,2013/12,349836891,76.77,56.57,-8.63,11709355,1.14,0.78,204527751,14.86
(주)SNT에너지,100840,2013/12,311675279,57.28,63.58,-12.98,20128884,0.76,0.54,200750984,60
(주)SNT홀딩스,036530,2013/12,397336142,0.12,99.88,1.24,7969284,0.77,0.36,8826810,55.61
(주)STX,011810,2013/12,1086567000,0,0,-53.97,85353000,0,0,1895063000,0
(주)TCC스틸,002710,2013/12,444204925,111.44,47.29,-4.79,21218485,0.41,0.28,419483813,10.18
(주)강원랜드,035250,2013/12,3105430200,23.04,81.28,4.95,432139763,3.33,2.32,1356906162,138.36
(주)갤럭시아에스엠,011420,2013/12,34158874,52,65.79,-17.37,-780292,2.44,1.58,30903637,0
(주)경농,002100,2013/12,214988593,32.14,75.68,6.27,16373126,0.58,0.43,139237273,19.92
(주)경동나비엔,009450,2013/12,301475800,86.68,53.57,8.87,20201422,1.75,0.87,371601179,9.91
(주)경동인베스트,012320,2013/12,1161427092,124.72,44.5,10.83,54868445,0.68,0.5,2664100017,24.99
(주)경방,000050,2013/12,1261257414,83.97,54.36,-0.24,50395794,0.54,0.3,264782077,5
(주)경인양행,012610,2013/12,274570963,54.19,64.86,29.58,-1601346,1.13,0.61,183106757,9.62
(주)광명전기,017040,2013/12,105483729,73.51,57.63,13.9,615721,2.47,1.46,90344376,0
(주)광주신세계,037710,2013/12,656355808,60.6,62.27,-3.37,57337481,1.2,0.89,206606675,25
(주)국동,005320,2013/12,40194919,575.8,14.8,4.58,-1572579,2.34,0.99,95716049,0
(주)국보,001140,2013/12,94915572,242.92,29.16,-0.17,3388938,0.76,0.5,108994114,0.98
(주)금비,008870,2013/09,131903805,73.65,57.59,-1.52,4278839,0.48,0.36,82028937,12.95
(주)금양,001570,2013/12,142485295,213.69,31.88,21.95,-16431019,1.26,0.79,132045280,7.69
(주)까뮤이앤씨,013700,2013/12,167635146,397.2,20.11,-8.14,-10254054,0.6,0.25,83568532,0
(주)나이스홀딩스,034310,2013/12,340424811,6.35,94.03,-24.3,6370321,10.48,1.03,24585959,21.32
(주)남선알미늄,008350,2013/12,237576875,235.43,29.81,14.53,15754793,1.15,0.61,353378515,0
(주)남성,004270,2013/12,170466140,109.12,47.82,1.82,14320713,0.44,0.31,56628063,2.05
(주)넥센,005720,2013/12,550327802,30.63,76.55,2.26,26459446,1.24,0.92,223755894,10.03
(주)노루페인트,090350,2013/12,507427528,125.56,44.33,2.39,18284130,0.61,0.4,397752527,40.02
(주)노루홀딩스,000320,2013/12,281605639,32.48,75.48,54.41,19663524,1.32,0.54,39806209,49.05
(주)녹십자,006280,2013/12,1040802954,26.43,79.1,10.92,23956630,2.31,1.67,793754169,24.74
(주)녹십자홀딩스,005250,2013/12,766055042,35.09,74.02,11.75,-15233225,1.62,1.05,34467648,42.91
(주)농심,004370,2013/12,2129920031,41.32,70.76,-4.5,151175206,1.5,0.95,1870807165,76.05
(주)농심홀딩스,072710,2013/12,571644835,9.73,91.13,0,14277517,0.78,0.54,19995280,40
