회사명,거래소코드,회계년도,자산(*)(IFRS연결)(천원),부채비율(IFRS연결),자기자본구성비율(IFRS연결),매출액증가율(IFRS연결),영업활동으로 인한 현금흐름(간접법)(*)(비교)(IFRS연결)(천원),PBR(최고)(IFRS),PBR(최저)(IFRS),매출액(영업수익)(*)(연결)(천원),배당성향(IFRS연결)
(주)BNK금융지주,138930,2015/12,,,,,746420688,,,5174025769,
(주)DB하이텍,000990,2015/12,984643712,287.57,25.8,17.42,152722221,3.53,0.77,666594987,
(주)HJ중공업,097230,2015/12,5914637000,332.17,23.14,23.61,259419000,0.55,0.26,3115473000,
(주)JB금융지주,175330,2015/12,,,,,-744930000,,,1994909000,
(주)KB금융지주,105560,2015/12,,,,,2193631000,,,22233277000,
(주)MH에탄올,023150,2015/12,78996052,36.47,73.27,2.86,13384066,2.24,0.95,50386203,
(주)SH에너지화학,002360,2015/12,115520726,26.05,79.33,-6.27,24630676,3.3,1.59,216441364,
(주)SIMPAC,009160,2015/12,422833445,82.25,54.87,2.42,10256628,1.08,0.63,269528038,
(주)SNT에너지,100840,2015/12,,,,,,1.03,0.48,,
(주)SNT홀딩스,036530,2015/12,2169311305,41.85,70.49,3.89,120263344,1.18,0.7,1612746929,
(주)STX,011810,2015/12,1267224000,1651.71,5.71,-0.23,-15950000,3.09,0.17,1630827000,
(주)TCC스틸,002710,2015/12,376394571,337.6,22.85,-4.47,30047778,0.98,0.49,495795871,
(주)강원랜드,035250,2015/12,3690791830,23.12,81.22,9.17,574981576,3.51,2.28,1633716839,
(주)갤럭시아에스엠,011420,2015/12,68686992,38.09,72.41,42.35,2451666,2.23,0.75,62472754,
(주)경농,002100,2015/12,316341853,81.11,55.21,4.21,-9854199,0.82,0.61,196418710,
(주)경동나비엔,009450,2015/12,402084368,95.11,51.25,19.36,43719574,3.04,1.57,512031120,
(주)경동인베스트,012320,2015/12,1167819522,102.58,49.36,-38.37,-50279018,0.85,0.57,1604168482,
(주)경방,000050,2015/12,1318643312,98.9,50.28,8.69,39920580,1.09,0.63,357628146,
(주)경보제약,214390,2015/12,,,,,,7.64,2.51,,
(주)경인양행,012610,2015/12,326687437,62.43,61.57,-5.06,5444861,1.39,0.71,263163677,
(주)광명전기,017040,2015/12,131457603,49.67,66.81,-13.7,18501076,1.74,1.28,116316957,
(주)광주신세계,037710,2015/12,,,,,,1.26,0.85,,
(주)국동,005320,2015/12,93758552,200.26,33.3,-8.49,3908416,5.12,1.79,170296068,
(주)국보,001140,2015/12,83085438,351.32,22.16,-6.05,-837022,2.18,1.07,91618545,
(주)금양,001570,2015/12,165405931,185.41,35.04,0.28,7307038,1.85,1.09,158999533,
(주)금호에이치티,214330,2015/12,123875646,52.2,65.7,13.34,9868864,1.18,1.02,203071984,
(주)까뮤이앤씨,013700,2015/12,,,,,,1.91,0.61,,
(주)나이스홀딩스,034310,2015/12,1242453840,78.68,55.97,16.44,86625536,3.81,1.79,1090840202,
(주)남선알미늄,008350,2015/12,,,,,,1.65,0.97,,
(주)남성,004270,2015/12,201740627,184.16,35.19,9.85,-8126763,0.81,0.06,75864783,
(주)넥센,005720,2015/12,883064033,21.82,82.09,-13.6,39609203,1.12,0.86,306141351,
(주)노루페인트,090350,2015/12,572890897,111.24,47.34,0.76,28906227,1.86,0.71,461646501,
(주)노루홀딩스,000320,2015/12,986460689,89.21,52.85,2.01,35787887,2.55,1.28,683481222,
(주)녹십자,006280,2015/12,1415128446,41.84,70.5,7.43,45243778,3.62,1.64,1047812247,
(주)녹십자홀딩스,005250,2015/12,2058661120,57.46,63.51,8.43,7035743,5.68,1.77,1132876997,
(주)농심,004370,2015/12,2418707598,46.9,68.07,6.85,201851914,1.73,0.87,2181623581,
(주)농심홀딩스,072710,2015/12,1084728406,39.15,71.86,15.94,4823509,1.46,0.89,449116217,
(주)다우기술,023590,2015/12,7156248386,394.36,20.23,34.07,-161398127,3.54,1.19,1049708558,
(주)다이나믹디자인,145210,2015/12,335699227,95.66,51.11,-7.8,13194404,1.26,0.62,227815365,
(주)대교,019680,2015/12,820643070,27.43,78.47,0.33,52285572,2.07,1.2,813207845,
(주)대구백화점,006370,2015/03,623073741,67.11,59.84,0,22082334,0.76,0.42,158152063,
(주)대덕,008060,2015/12,,,,,,1.15,0.74,,
(주)대동,000490,2015/12,688285313,195.25,33.87,-3.28,15423255,1.76,1.04,583473475,
(주)대양금속,009190,2015/12,,,,,,5.1,2,,
(주)대우건설,047040,2015/12,10152059203,258.64,27.88,-0.59,685041769,1.44,0.79,9935734306,
(주)대웅,003090,2015/12,1242301736,49.95,66.69,11.51,74916093,5.16,1.64,996816140,
(주)대웅제약,069620,2015/12,944529005,62.78,61.43,14.1,35887836,3.86,1.41,839686478,
(주)대유에이텍,002880,2015/12,754878946,416.74,19.35,37.03,43540250,3.17,1.33,1010565226,
(주)대유플러스,000300,2015/12,784472056,635.95,13.59,-1.19,-5201559,1.29,0.84,495781661,
(주)대창,012800,2015/12,539125755,261.6,27.66,-23.19,104810171,0.84,0.46,1016663483,
(주)대한항공,003490,2015/12,24180351113,867.59,10.33,-3.06,2728023078,1.92,0.95,11544831301,
(주)대현,016090,2015/12,,,,,,1.64,0.8,,
(주)대호에이엘,069460,2015/12,,,,,,3.07,1.26,,
(주)더메디팜,118000,2015/12,16405118,165.22,37.7,-2.65,-3558415,10.89,3.88,11450628,
(주)더블유게임즈,192080,2015/12,,,,,38751251,0,0,,
(주)더존비즈온,012510,2015/12,213534002,60.82,62.18,15.66,46494045,6.7,2.5,157733506,
(주)덕성,004830,2015/12,97271143,53.19,65.28,-6.5,5690869,4.25,0.65,76938066,
(주)덴티움,145720,2015/12,148492295,167.17,37.43,11.34,14971326,0,0,95489314,
(주)도화엔지니어링,002150,2015/12,,,,,,0.85,0.57,,
(주)동남합성,023450,2015/12,,,,,,1.37,0.78,,
(주)동방,004140,2015/12,633221223,537.96,15.67,-0.61,71516835,0.98,0.45,629844689,
(주)동방아그로,007590,2015/12,170104382,37.84,72.55,1.05,2870533,1.43,0.67,115830676,
(주)동서,026960,2015/12,1256369403,10.2,90.74,1.34,109312076,0,0,509394172,
(주)동성케미컬,102260,2015/12,801695229,101.18,49.71,-3.78,49657822,1.67,0.96,871224899,
(주)동아지질,028100,2015/12,259436782,87.47,53.34,-2.94,16251926,0.79,0.59,296676999,
(주)동양,001520,2015/12,1184189631,23.36,81.07,3,37567400,0.88,0.22,392665079,
(주)동양고속,084670,2015/12,240378400,82.91,54.67,-0.38,18947043,0.97,0.72,135760744,
(주)동원에프앤비,049770,2015/12,952430434,82.39,54.83,7.59,89025074,5.05,2.22,1931040796,
(주)두산,000150,2015/12,31556310459,275.96,26.6,-7.37,-17769699,2,1.19,18960372476,
(주)두올,016740,2015/12,230283413,159.74,38.5,15.61,9135257,0,0,366287629,
(주)드림텍,192650,2015/12,247052414,183.88,35.23,-22.54,-7144126,0,0,372144145,
(주)디비아이엔씨,012030,2015/12,276200611,66.56,60.04,-28.11,-13076502,0.83,0.23,203671200,
(주)디아이,003160,2015/12,171701971,48.64,67.28,-21.27,-3160118,3.5,1.91,105480560,
(주)디아이씨,092200,2015/12,585802945,233.69,29.97,3.46,38200095,1.65,0.6,519409720,
(주)디알비동일,004840,2015/12,639083096,65.94,60.26,16.16,63485497,1.68,1.1,679635431,
(주)디엔오토모티브,007340,2015/12,1064506282,46.74,68.15,26.1,114660742,1.15,0.77,910458499,
(주)디지비금융지주,139130,2015/12,,,,,100645241,,,3507724801,
(주)락앤락,115390,2015/12,756469839,18.21,84.59,-3.45,72209303,1.8,1.06,407085372,
(주)마니커,027740,2015/12,222831034,177.4,36.05,-19.22,16989664,1.82,0.45,274546428,
(주)메리츠금융지주,138040,2015/12,,,,,-2031698254,,,10189408056,
(주)메타랩스,090370,2015/12,114036049,481.33,17.2,-9.28,-7883383,7.79,3.11,115996783,
(주)모나리자,012690,2015/12,,,,,,4.59,1.52,,
(주)모나미,005360,2015/12,162288656,126.12,44.22,-4.76,4527769,1.87,0.79,142929412,
(주)모토닉,009680,2015/12,429266968,13.08,88.43,-6.43,20757657,1.31,0.9,203254231,
(주)무학,033920,2015/12,556846377,27.73,78.29,1.94,78348624,4.36,2.33,295760850,
(주)미래아이앤지,007120,2015/12,47974558,6.61,93.8,-51.24,179548,3.85,1.27,9161388,
(주)바이오노트,377740,2015/12,,,,,,,,,
(주)백산,035150,2015/12,170612301,64.68,60.72,1.36,4219165,1.67,0.88,172072593,
(주)벽산,007210,2015/12,429504382,60.64,62.25,3.37,40778263,4.58,1.85,442823058,
(주)보락,002760,2015/12,,,,,,1.94,0.88,,
(주)보령,003850,2015/12,,,,,,3.74,1.71,,
(주)비비안,002070,2015/12,178009474,22.84,81.4,-7.56,-7460713,0.7,0.37,200322459,
(주)비상교육,100220,2015/12,235171219,36.57,73.22,5.09,40155531,0.98,0.64,143846023,
(주)비와이씨,001460,2015/12,691464609,82.87,54.68,2.99,28069051,1.12,0.52,182195988,
(주)비지에프,027410,2015/12,1621622006,109.59,47.71,28.69,359310662,9.29,2.77,4334280041,
(주)빙그레,005180,2015/12,616988522,19.3,83.82,-2.61,64718169,1.9,1.25,799571651,
(주)사조대림,003960,2015/12,657031493,163.6,37.94,31.53,18314242,0.93,0.37,715055913,
(주)사조오양,006090,2015/12,,,,,,1.5,0.47,,
(주)삼성출판사,068290,2015/12,155126969,53,65.36,-5.38,12863616,2.35,0.96,145532697,
(주)삼양사,145990,2015/12,1437819497,104.42,48.92,6.69,32200222,1.5,0.62,1445814350,
(주)삼양패키징,272550,2015/12,,,,,,0,0,,
(주)삼양홀딩스,000070,2015/12,3071422344,70.98,58.49,-1.66,89877502,2.67,0.72,2176562499,
(주)삼영,003720,2015/12,170243060,58.14,63.24,-20.87,4956805,0.65,0.41,126120581,
(주)삼원강재,023000,2015/12,,,,,,1.03,0.74,,
(주)삼익악기,002450,2015/12,408469903,87.29,53.39,3.62,4024600,2.9,1.42,160730157,
(주)삼일씨엔에스,004440,2015/12,,,,,,0,0,,
(주)삼천리,004690,2015/12,3543526900,162.67,38.07,-2.31,194007173,0.55,0.34,3667872079,
(주)상상인증권,001290,2015/12,,,,,-44248379,,,89769227,
(주)서연,007860,2015/12,2595484129,164.64,37.79,55.61,179903323,1.4,0.79,3065762345,
