,업종명,평가연도,총자산규모(Size),부채비율(DEB),자기자본비율(DEB),매출액증가율,현금흐름(CF),PBR,ESG_A,ESG_A+,ESG_B,ESG_B+,ESG_C,ESG_D,E_A,E_A+,E_B,E_B+,E_C,E_D,S_A,S_A+,S_B,S_B+,S_C,S_D,G_A,G_A+,G_B,G_B+,G_C,G_D,배당기업구분
신세계인터내셔날,유통업,2017,27.58062908370327,-0.1865112945536724,-0.048607055697884566,-0.020710182013901512,-0.18835980127520463,-0.1849451003626445,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,일반배당기업
현대비앤지스틸,철강금속,2021,27.368034105495035,-0.2839850312686275,0.5401052842531364,0.004810097675296176,-0.12881910625260987,-0.36083234580776596,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,일반배당기업
미원상사,화학,2021,26.643271221090746,-0.3590434788788794,1.2299806038616121,-0.0006605795644757194,0.7444622636894388,0.5089220146960918,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,일반배당기업
오리온홀딩스,기타금융,2021,29.232787344101336,-0.35285633475173317,1.1611335760391779,-0.03212413426546748,0.9555756209335421,-0.3785824347976406,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,고배당기업
삼천리,전기가스업,2022,29.24483991146582,0.16641808781769002,-1.056958422376125,0.04496658715257469,0.05938876848981914,-0.30596843438451704,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,고배당기업
시디즈,기타제조업,2022,25.166658230491503,-0.3373098242966584,1.0000221639921199,-0.03212413426546748,0.04669636244842759,0.04419241205210101,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,고배당기업
동원산업,"농업, 임업 및 어업",2011,27.89861243091864,0.0007022487173050784,-0.7117865890078651,-0.02894484016277282,-0.07943355078726164,-0.14621763347564523,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,고배당기업
대한제당,음식료품,2017,27.773276219965616,-0.019904087231579957,-0.656989975026744,-0.030964121552322133,-0.2169699549668434,-0.36244599026139096,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,일반배당기업
두산,서비스업,2016,30.986691184533363,0.26226638836364913,-1.2016776849416504,-0.051386073761522974,0.10235150114015187,-0.13330847784664554,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,고배당기업
동일산업,철강금속,2016,26.64052859288442,-0.39066083403709234,1.624328885674468,-0.033928598485915805,0.19404835279873556,-0.3882643015193904,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,일반배당기업
한국가스공사,전기가스업,2016,31.318094832629562,0.4263043578702317,-1.3913582717993778,-0.059305666729046164,1.2282100061211672,-0.39149159042664033,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,무배당기업
평화산업,운수장비,2016,25.829625843098444,0.046581495422838,-0.8232532054822829,-0.028987803596593014,0.08932739288859347,-0.15589950019739504,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,일반배당기업
두올,운수장비,2017,26.511050018241338,-0.1343138201589775,-0.2785654955673763,-0.00835103421829118,0.9081690838658564,-0.3188775900135168,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,일반배당기업
빙그레,음식료품,2018,27.206264762036387,-0.37438025563472893,1.4112309424145515,-0.03251080516984926,0.2916564067050678,-0.12685390003214558,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,일반배당기업
자화전자,전기전자,2011,26.190810997400487,-0.2799738742709438,0.510131068058335,0.10318203997894317,0.32337821012639484,-0.2188316338887688,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,일반배당기업
녹십자,의약품,2017,28.163753930254817,-0.2860823682608804,0.5555607394785808,-0.021368954665811214,0.026503411140977703,0.20717050186822275,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,일반배당기업
한국내화,비금속광물,2013,26.008733275670178,-0.15350445363809187,-0.19894648379993532,-0.02371762238131538,0.01851061231340553,-0.26562732304389286,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,일반배당기업
환인제약,의약품,2013,25.986478599130653,-0.3966382444650132,1.7086313687223469,-0.03579034728479105,0.40595177488686396,-0.13814941120752042,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,일반배당기업
서연,기타금융,2017,28.649021855496844,0.0366977948468461,-0.800304196208138,-0.04448328206107781,0.16336938302410967,-0.33662767900339147,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,일반배당기업
평화산업,운수장비,2014,25.805940785701686,0.058641183128292355,-0.8499489917807779,0.07902226902738509,0.14033132431380627,-0.2914456343018923,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,무배당기업
삼성공조,운수장비,2016,26.255582481607785,-0.3555042227044526,1.1901710979778912,-0.044096611156696025,0.4518394826451614,-0.39149159042664033,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,일반배당기업
한국화장품,유통업,2017,25.322391390900098,-0.24956248788327623,0.3021849432069005,-0.04058793072804651,-0.6300123315364344,0.9752652617937075,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,무배당기업
롯데손해보험,보험,2021,30.570774910316388,4.258977977513243,-2.244218391967086,-0.05207348870264615,-0.0341484101847217,-0.36083234580776596,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,무배당기업
하나제약,의약품,2021,26.438638399629085,-0.3730432033021677,1.3948387929330197,-0.016700261524016352,0.5953535037515586,0.02966961196947625,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,고배당기업
동원수산,"농업, 임업 및 어업",2021,25.33781194131966,-0.22478769466228843,0.15325055648898112,-0.03286883378501758,-0.044861481178718,-0.29305927875551735,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,무배당기업
서원,철강금속,2011,26.686315631638212,0.03200500332668011,-0.7890638651350876,-0.010198461872559702,-0.4452952256975476,-0.20592247825976906,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,일반배당기업
평화산업,운수장비,2017,25.90669188591333,-0.003099174581153334,-0.7019512993189462,-0.0332268624001859,-0.1776315626990334,-0.22528621170326868,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,무배당기업
진도,유통업,2011,25.916757039489788,-0.07448728245496254,-0.4940051744675113,0.001143884655972604,-1.0071617837791715,-0.3043547899308921,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,고배당기업
아남전자,전기전자,2014,25.778659043266654,-0.09152814551701767,-0.43686682484617123,-0.019034608094913783,-0.938444409173303,-0.24787723405401824,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,무배당기업
한화투자증권,증권,2022,30.038839167355345,1.1487058681393514,-1.8241110181118227,-0.016857794114690412,0.6315475847802529,-0.3463095457251412,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,무배당기업
웅진씽크빅,서비스업,2012,27.075448757303796,0.014623323003383933,-0.746912623611148,-0.05496635991320615,0.12153093573195196,0.34594392487997006,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,무배당기업
현대백화점,유통업,2022,30.121681982991262,-0.19196437073353004,-0.021442922271345893,0.025676005367305733,0.1351574281226226,-0.43021905731363963,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,일반배당기업
미래아이앤지,서비스업,2017,24.954791681168956,-0.414282091912341,1.978867661603603,-0.06302916432679666,-1.3756937418337405,-0.22851350061051862,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,무배당기업
풀무원,기타금융,2018,27.82541816955252,0.03515100881505955,-0.7965574191837879,-0.02996164142985084,-0.09859983150231735,-0.0881264331451464,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,일반배당기업
롯데손해보험,보험,2016,30.037739066286257,5.113773885418329,-2.2807494679545,-0.020466722555587055,1.5599956264001245,-0.310809367745392,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,일반배당기업
영풍제지,종이목재,2021,26.0684493226377,-0.2727380616476711,0.45814453684547635,0.0006426445947369573,0.38032378368377345,-0.03971709953639732,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,일반배당기업
영풍,철강금속,2012,28.694517000804122,-0.3407704303338757,1.0346798514673594,-0.010470563620087624,1.097665053902587,-0.12201296667127072,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,고배당기업
MH에탄올,음식료품,2015,25.092663713481112,-0.3311226801695122,0.9391370373464296,-0.028028286907941926,1.4916773345878893,-0.03810345508277232,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,일반배당기업
금강공업,철강금속,2021,27.490216190035127,-0.09994371019843254,-0.4078293029074575,-0.012547129588063867,-0.5071999438045754,-0.28176376758014254,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,일반배당기업
한국내화,비금속광물,2012,25.944067384297426,-0.16603604216680315,-0.14414986981881395,-0.020566970567834183,0.24122486635248144,-0.2511045229612681,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,일반배당기업
백광산업,화학,2014,26.830746448424968,0.22721464388062193,-1.1520328893690106,-0.052388553883994264,-0.08167528109357172,-0.2672409674975178,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,무배당기업
무학,음식료품,2012,26.654557705408756,-0.35361661941142486,1.1695638243439654,-0.03212413426546748,0.7622578071758116,-0.19462696708439423,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,일반배당기업
한화,화학,2021,32.94110104153895,1.8318085265161321,-2.0053613566647623,-0.026753705037942714,0.6363868215947881,-0.2527181674148931,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,일반배당기업
빙그레,음식료품,2014,27.084313294094272,-0.37537649070604906,1.4238763148717337,-0.029460401368615198,0.08683623192452966,0.03612418978397613,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,일반배당기업
세종공업,운수장비,2013,27.270869271714105,-0.17552649205674767,-0.10059358691074319,-0.021426239244238147,0.2916641442487328,-0.2010815448988941,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,일반배당기업
화성산업,건설업,2015,26.883369959623863,-0.2548058303639086,0.335905936426052,-0.011902678080760896,-0.6533292808814054,-0.2511045229612681,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,일반배당기업
일성건설,건설업,2013,26.374959781800936,-0.10371891678448786,-0.39424723619418817,-0.02539319630030311,-0.6838461628488587,-0.460878301932514,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,일반배당기업
사조산업,"농업, 임업 및 어업",2018,27.793138388022786,-0.08416124933172926,-0.46215756976053485,-0.038081730421868284,-0.13227782884985312,-0.1994679004452692,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,일반배당기업
윌비스,유통업,2015,26.443615042361554,-0.09310114826120734,-0.4317150064376898,0.0003132582687821044,-0.232427200856985,-0.3043547899308921,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,일반배당기업
쌍방울,섬유의복,2021,26.70377987043516,-0.2345927451010709,0.2103889061103212,-0.032453520591422334,-0.5542326603552151,-0.16719501137276988,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,무배당기업
한국주강,기계,2022,24.595408529333092,-0.2658168495732365,0.40990478265696784,-0.0034818450520020614,-0.07504759790345537,-0.06714905524802184,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,무배당기업
제일파마홀딩스,서비스업,2017,26.009447401638315,-0.3849718074456062,1.5475199566752895,-0.16502435621594702,0.6130116770194685,0.4831037034380922,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,일반배당기업
