,업종명,평가연도,총자산규모(Size),부채비율(DEB),자기자본비율(DEB),매출액증가율,현금흐름(CF),PBR,ESG_A,ESG_A+,ESG_B,ESG_B+,ESG_C,ESG_D,E_A,E_A+,E_B,E_B+,E_C,E_D,S_A,S_A+,S_B,S_B+,S_C,S_D,G_A,G_A+,G_B,G_B+,G_C,G_D,배당기업구분
신세계인터내셔날,유통업,2017,950856585000.0,91.63,52.18,7.97,0.0125766001020352,1.14,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,일반배당기업
현대비앤지스틸,철강금속,2021,768751883000.0,54.45,64.75,25.79,0.021544824702032,0.595,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,일반배당기업
미원상사,화학,2021,372413719000.0,25.82,79.48,21.97,0.1530814730676775,3.29,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,일반배당기업
오리온홀딩스,기타금융,2021,4961788340000.0,28.18,78.01,0.0,0.1848800942142059,0.54,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,고배당기업
삼천리,전기가스업,2022,5021952466000.0,226.25,30.65,53.83,0.0498933431655407,0.765,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,고배당기업
시디즈,기타제조업,2022,85063020000.0,34.11,74.57,0.0,0.047981569242674,1.85,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,고배당기업
동원산업,"농업, 임업 및 어업",2011,1306812956000.0,163.04,38.02,2.22,0.0289834471978018,1.26,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,고배당기업
대한제당,음식료품,2017,1152870713000.0,155.18,39.19,0.81,0.0082672401919825,0.59,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,일반배당기업
두산,서비스업,2016,28664805143000.0,262.81,27.56,-13.45,0.0563645379625041,1.2999999999999998,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,고배당기업
동일산업,철강금속,2016,371393726000.0,13.76,87.9,-1.26,0.0701762336518926,0.51,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,일반배당기업
한국가스공사,전기가스업,2016,39927835678000.0,325.38,23.51,-18.98,0.2259452245274615,0.5,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,무배당기업
평화산업,운수장비,2016,165068412000.0,180.54,35.64,2.19,0.0544028019100391,1.23,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,일반배당기업
두올,운수장비,2017,326289225000.0,111.54,47.27,16.6,0.1777395582871439,0.725,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,일반배당기업
빙그레,음식료품,2018,653929093000.0,19.97,83.35,-0.27,0.0848782949877301,1.32,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,일반배당기업
자화전자,전기전자,2011,236877981000.0,55.98,64.11,94.48,0.0896563422995972,1.035,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,일반배당기업
녹십자,의약품,2017,1703581525000.0,53.65,65.08,7.51,0.0449400373527072,2.355,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,일반배당기업
한국내화,비금속광물,2013,197446456000.0,104.22,48.97,5.87,0.0437361344583749,0.89,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,일반배당기업
환인제약,의약품,2013,193100883000.0,11.48,89.7,-2.56,0.1020938570869749,1.285,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,일반배당기업
서연,기타금융,2017,2767655964000.0,176.77,36.13,-8.63,0.0655552615364185,0.6699999999999999,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,일반배당기업
평화산업,운수장비,2014,161204694000.0,185.14,35.07,77.61,0.0620851897681345,0.81,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,무배당기업
삼성공조,운수장비,2016,252728716000.0,27.17,78.63,-8.36,0.1090056217111409,0.5,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,일반배당기업
한국화장품,유통업,2017,99397360000.0,67.58,59.67,-5.91,-0.0539466254840369,4.735,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,무배당기업
롯데손해보험,보험,2021,18911189698000.0,1787.3,5.3,-13.93,0.035804451081144,0.595,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,무배당기업
하나제약,의약품,2021,303497254000.0,20.48,83.0,10.77,0.1306221979711666,1.805,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,고배당기업
동원수산,"농업, 임업 및 어업",2021,100942001000.0,77.03,56.49,-0.52,0.0341908114218587,0.8049999999999999,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,무배당기업
서원,철강금속,2011,388794060000.0,174.98,36.37,15.31,-0.0261238986583613,1.075,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,일반배당기업
평화산업,운수장비,2017,178292605000.0,161.59,38.23,-0.77,0.0141925243547995,1.015,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,무배당기업
진도,유통업,2011,180096209000.0,134.36,42.67,23.23,-0.1107541752480274,0.77,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,고배당기업
아남전자,전기전자,2014,156866199000.0,127.86,43.89,9.14,-0.1004037275558451,0.945,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,무배당기업
한화투자증권,증권,2022,11109693899000.0,600.93,14.27,10.66,0.1360738751431014,0.64,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,무배당기업
웅진씽크빅,서비스업,2012,573743780000.0,168.35,37.27,-15.95,0.0592534104732287,2.785,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,무배당기업
현대백화점,유통업,2022,12069249655000.0,89.55,52.76,40.36,0.0613058796999199,0.38,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,일반배당기업
미래아이앤지,서비스업,2017,68822164000.0,4.75,95.47,-21.58,-0.1662637283504181,1.005,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,무배당기업
풀무원,기타금융,2018,1214578440000.0,176.18,36.21,1.51,0.0260965559693071,1.44,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,일반배당기업
롯데손해보험,보험,2016,11097478833000.0,2113.35,4.52,8.14,0.2759199176441907,0.75,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,일반배당기업
영풍제지,종이목재,2021,209596339000.0,58.74,63.0,22.88,0.0982336807643969,1.59,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,일반배당기업
영풍,철강금속,2012,2896479068000.0,32.79,75.31,15.12,0.2062820941013253,1.335,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,고배당기업
MH에탄올,음식료품,2015,78996052000.0,36.47,73.27,2.86,0.2656295811772123,1.5950000000000002,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,일반배당기업
금강공업,철강금속,2021,868658748000.0,124.65,44.51,13.67,-0.0354482005593155,0.84,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,일반배당기업
한국내화,비금속광물,2012,185082477000.0,99.44,50.14,8.07,0.0772821226448617,0.935,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,일반배당기업
백광산업,화학,2014,449205565000.0,249.44,28.62,-14.15,0.0286457900563798,0.885,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,무배당기업
무학,음식료품,2012,376640770000.0,27.89,78.19,0.0,0.1557618991326443,1.11,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,일반배당기업
한화,화학,2021,202366402000000.0,861.49,10.4,3.75,0.1368027776631149,0.93,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,일반배당기업
빙그레,음식료품,2014,578852362000.0,19.59,83.62,1.86,0.054027574663666,1.825,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,일반배당기업
세종공업,운수장비,2013,697570396000.0,95.82,51.07,7.47,0.0848794604432125,1.09,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,일반배당기업
화성산업,건설업,2015,473477372000.0,65.58,60.39,14.12,-0.0574587047204834,0.935,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,일반배당기업
일성건설,건설업,2013,284773448000.0,123.21,44.8,4.7,-0.0620552626120541,0.285,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,일반배당기업
사조산업,"농업, 임업 및 어업",2018,1175998145000.0,130.67,43.35,-4.16,0.0210238599892521,1.095,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,일반배당기업
윌비스,유통업,2015,305011416000.0,127.26,44.0,22.65,0.0059390165663167,0.77,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,일반배당기업
쌍방울,섬유의복,2021,395643690000.0,73.29,57.71,-0.23,-0.0425324303523009,1.1949999999999998,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,무배당기업
한국주강,기계,2022,48045222000.0,61.38,61.97,20.0,0.029644074530621,1.505,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,무배당기업
제일파마홀딩스,서비스업,2017,197587508000.0,15.93,86.26,-92.8,0.1332819328605927,3.21,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,일반배당기업
현대제철,철강금속,2013,29520275370000.0,120.88,45.27,-4.34,0.0475850289591243,0.515,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,일반배당기업
롯데손해보험,보험,2012,3467415339000.0,1535.69,6.11,9.38,0.059596868197018,1.38,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,무배당기업
한솔케미칼,화학,2011,321824251000.0,111.37,47.31,21.64,0.0382664478089416,1.465,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,일반배당기업
세방,운수창고업,2012,903191339000.0,47.63,67.74,-6.1,0.0382202173798564,0.735,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,일반배당기업
