종목명,ESG 통합등급,2016_E,2016_S,2016_G,평가연도,업종명
AJ네트웍스,B이하,C,B이하,B이하,2016,서비스업
AJ렌터카,B이하,C,B이하,B이하,2016,서비스업
AK홀딩스,B이하,B,B이하,B이하,2016,서비스업
BNK금융지주,A,A+,B+,B이하,2016,기타금융
BYC,B이하,C,B이하,B이하,2016,섬유의복
CJ,B+,B+,A,B+,2016,서비스업
CJ CGV,B이하,C,B+,B이하,2016,서비스업
CJ대한통운,A,B+,A,A,2016,운수창고업
CJ씨푸드,B이하,B,B이하,B이하,2016,음식료품
CJ제일제당,B+,B,B+,A,2016,음식료품
CS홀딩스,B이하,C,B이하,B이하,2016,서비스업
DGB금융지주,A+,A+,A+,A,2016,기타금융
DRB동일,B이하,B,B이하,B이하,2016,서비스업
DSR,B이하,C,B이하,B이하,2016,섬유의복
DSR제강,B이하,C,B이하,B이하,2016,철강금속
E1,B+,B+,B+,B이하,2016,유통업
F&F,B이하,B,B이하,B이하,2016,섬유의복
GKL,B이하,B,B+,B이하,2016,서비스업
GS,B이하,B,B이하,B이하,2016,서비스업
GS건설,B+,B+,B+,A,2016,건설업
GS글로벌,B이하,B,B이하,B이하,2016,유통업
GS리테일,B이하,B,B이하,B이하,2016,유통업
JB금융지주,B이하,A+,B이하,B이하,2016,기타금융
JW중외제약,B이하,B,B이하,B이하,2016,의약품
JW홀딩스,B이하,C,B+,B이하,2016,서비스업
KB금융,A+,A+,A+,A,2016,기타금융
KB손해보험,B+,A,B이하,B이하,2016,보험
KC그린홀딩스,B이하,B,A,B이하,2016,서비스업
KC코트렐,B이하,B,B이하,B이하,2016,기계
KEC,B이하,C,B이하,B+,2016,전기전자
KGP,B이하,B,B이하,B이하,2016,종이목재
KG케미칼,B이하,C,B이하,B이하,2016,화학
KISCO홀딩스,B이하,B,B이하,B이하,2016,서비스업
KPX그린케미칼,B이하,B,B이하,B+,2016,화학
KPX케미칼,B이하,B,B이하,B이하,2016,화학
KPX홀딩스,B이하,B,B이하,B이하,2016,서비스업
KR모터스,B이하,B,B이하,B이하,2016,운수장비
KSS해운,B+,B,A,B이하,2016,운수창고업
KTB투자증권,B이하,B+,B이하,B이하,2016,증권
KTcs,B이하,B+,B+,B이하,2016,서비스업
LF,B이하,B,B이하,B이하,2016,섬유의복
LG,B+,A,B+,B이하,2016,서비스업
LG디스플레이,B+,B+,A,B+,2016,전기전자
LG상사,B+,B+,A,B+,2016,유통업
LG생명과학,B+,B+,A,B+,2016,의약품
LG생활건강,A,B+,A+,A,2016,화학
LG유플러스,B+,B+,B+,A,2016,통신업
LG이노텍,A,A,A+,A,2016,전기전자
LG전자,A,B,A+,A,2016,전기전자
LG하우시스,A,B+,A+,A,2016,화학
LG화학,B+,B,B+,B+,2016,화학
LS,B이하,B,B이하,B이하,2016,서비스업
LS네트웍스,B이하,C,B이하,B이하,2016,유통업
LS산전,A,B+,A+,A,2016,전기전자
MH에탄올,B이하,B,B이하,B이하,2016,음식료품
NAVER,B+,B,B+,B+,2016,서비스업
NHN엔터테인먼트,B이하,C,B이하,B이하,2016,서비스업
NH투자증권,B+,A+,B+,B이하,2016,증권
NICE,B이하,B,B이하,B이하,2016,서비스업
NI스틸,B이하,B,B이하,B이하,2016,철강금속
OCI,B+,B+,A,B+,2016,화학
S&TC,B이하,B,B이하,B이하,2016,기계
S&T모티브,B이하,B,B이하,B+,2016,운수장비
S&T중공업,B이하,B,B+,B이하,2016,운수장비
S&T홀딩스,B이하,B,B이하,B이하,2016,서비스업
S-Oil,A+,A+,A+,A,2016,화학
