종목명,ESG 통합등급,2013_E,2013_S,2013_G,평가연도
AK홀딩스,B이하,C,B이하,B이하,2013
BNK금융지주,B+,A,A,B이하,2013
BYC,B이하,B,B이하,B이하,2013
CJ,B+,B,A,B이하,2013
CJ CGV,B이하,B,B이하,B이하,2013
CJ대한통운,B+,B+,A,B+,2013
CJ씨푸드,B이하,C,B이하,B이하,2013
CJ제일제당,B+,B,A,A,2013
CS홀딩스,B이하,C,B이하,B이하,2013
DB,B이하,B,B이하,B이하,2013
DB금융투자,B이하,C,B이하,B이하,2013
DB손해보험,B+,B+,B+,B+,2013
DB하이텍,B+,B+,B이하,B+,2013
DGB금융지주,B+,A,B이하,B+,2013
DRB동일,B이하,C,B이하,B이하,2013
DSR제강,B이하,C,B이하,B이하,2013
E1,B이하,B,B이하,B이하,2013
F&F,B이하,B,B이하,B이하,2013
GKL,B이하,B+,B+,B이하,2013
GS,B이하,B+,B이하,B이하,2013
GS건설,A,A,A,A,2013
GS글로벌,B이하,B,B이하,B이하,2013
GS리테일,B이하,B,B이하,B이하,2013
JW중외제약,B이하,C,B이하,B이하,2013
JW홀딩스,B이하,B,B이하,B이하,2013
KB금융,A+,A+,A+,A+,2013
KB손해보험,A,A,A,B+,2013
KB캐피탈,B이하,B+,B이하,B이하,2013
KC그린홀딩스,B이하,B,B이하,B이하,2013
KC코트렐,B이하,B,B이하,B이하,2013
KEC,B이하,B,B이하,B이하,2013
KGP,B이하,C,B이하,B이하,2013
KG케미칼,B이하,D,B이하,B이하,2013
KISCO홀딩스,B이하,B,B이하,B이하,2013
KPX그린케미칼,B이하,B,B이하,B+,2013
KPX케미칼,B이하,B+,B이하,B이하,2013
KPX홀딩스,B이하,B,B이하,B이하,2013
KR모터스,B이하,C,B이하,B이하,2013
KSS해운,B이하,B,B이하,B이하,2013
KTB투자증권,B이하,B+,B이하,B이하,2013
KTcs,B이하,B,B이하,B이하,2013
LF,B이하,B,B이하,B이하,2013
LG,B+,A,B+,B이하,2013
LG디스플레이,B+,B+,A,B+,2013
LG상사,B+,B+,B+,B+,2013
LG생명과학,B+,B+,B+,B+,2013
LG생활건강,A,B+,A+,A,2013
LG유플러스,B+,A,B이하,B이하,2013
LG이노텍,A,B+,A,A,2013
LG전자,A,B+,A,A,2013
LG하우시스,A,B+,A,A,2013
LG화학,A,A,A,B+,2013
LS,B이하,B+,B이하,B이하,2013
LS네트웍스,B이하,B,B이하,B이하,2013
LS산전,B+,B+,B+,B+,2013
MH에탄올,B이하,C,B이하,B이하,2013
NAVER,B+,B+,B+,B이하,2013
NH농협증권,B이하,B,B이하,B이하,2013
NH투자증권,B+,B+,B+,B이하,2013
NICE,B이하,B,B이하,B이하,2013
NI스틸,B이하,C,B이하,B이하,2013
OCI,A,B+,A,A,2013
S&TC,B이하,B,B이하,B이하,2013
S&T모티브,B이하,B,B이하,B이하,2013
S&T중공업,B이하,B,B이하,B이하,2013
S&T홀딩스,B이하,B,B이하,B이하,2013
