종목코드,종목명,시장구분,업종명,종가,대비,등락률,시가총액
"060310","3S","KOSDAQ","반도체","3325","85","2.62","138985628425"
"054620","AP시스템","KOSDAQ","반도체","24550","50","0.20","628724542550"
"211270","AP위성통신","KOSDAQ","통신장비","10200","350","3.55","133596948000"
"032040","C&S자산관리","KOSDAQ","기타서비스","3755","0","0.00","107223427955"
"130960","CJ E&M","KOSDAQ","방송서비스","76000","0","0.00","2943638764000"
"035760","CJ오쇼핑","KOSDAQ","방송서비스","163000","2000","1.24","1013129434000"
"051500","CJ프레시웨이","KOSDAQ","유통","44950","450","1.01","533627790700"
"058820","CMG제약","KOSDAQ","제약","3895","-35","-0.89","345514715380"
"023460","CNH","KOSDAQ","금융","1550","25","1.64","57660000000"
"065770","CS","KOSDAQ","통신장비","2475","50","2.06","38782680750"
"083660","CSA 코스믹","KOSDAQ","화학","5410","110","2.08","75529188530"
"068790","DMS","KOSDAQ","기계·장비","9440","70","0.75","212848277280"
"037370","EG","KOSDAQ","유통","16150","650","4.19","121125000000"
"079190","EMW","KOSDAQ","통신장비","3565","120","3.48","99357081185"
"032860","GMR 머티리얼즈","KOSDAQ","기타서비스","1475","0","0.00","88437238750"
"083450","GST","KOSDAQ","반도체","5640","-70","-1.23","52552081800"
"028150","GS홈쇼핑","KOSDAQ","방송서비스","169700","5000","3.04","1113656250000"
"078150","HB테크놀러지","KOSDAQ","기계·장비","4070","-55","-1.33","314034850800"
"036640","HRS","KOSDAQ","화학","4190","100","2.44","68526612000"
"204840","IBKS제2호스팩","KOSDAQ","금융","7500","-400","-5.06","33750000000"
"225430","IBKS제3호스팩","KOSDAQ","금융","2135","0","0.00","9607500000"
"230980","IBKS제4호스팩","KOSDAQ","금융","3790","90","2.43","7580000000"
"095340","ISC","KOSDAQ","반도체","21700","100","0.46","281169764400"
"099520","ITX엠투엠","KOSDAQ","통신장비","1995","40","2.05","28156199085"
"067290","JW신약","KOSDAQ","제약","10300","-600","-5.50","402163067400"
"035900","JYP Ent.","KOSDAQ","오락·문화","5250","190","3.75","178725813000"
"024120","KB오토시스","KOSDAQ","운송장비·부품","7360","-80","-1.08","84640000000"
"021320","KCC건설","KOSDAQ","건설","11050","-50","-0.45","236470000000"
"036670","KCI","KOSDAQ","화학","9030","50","0.56","101768100000"
"044180","KD건설","KOSDAQ","건설","257","7","2.80","39188951858"
"151860","KG ETS","KOSDAQ","전기·가스·수도","3275","75","2.34","117900000000"
"046440","KG모빌리언스","KOSDAQ","소프트웨어","10250","150","1.49","212292065250"
"035600","KG이니시스","KOSDAQ","소프트웨어","13050","-400","-2.97","346870057050"
"060720","KH바텍","KOSDAQ","IT부품","13000","650","5.26","260000000000"
"083470","KJ프리텍","KOSDAQ","IT부품","6790","30","0.44","142653303170"
"122450","KMH","KOSDAQ","방송서비스","8570","160","1.90","115469566150"
"052900","KMH하이텍","KOSDAQ","반도체","1665","5","0.30","72852504570"
"058400","KNN","KOSDAQ","방송서비스","1235","-5","-0.40","163550704200"
"114450","KPX생명과학","KOSDAQ","제약","5190","10","0.19","77850000000"
"036030","KTH","KOSDAQ","인터넷","7870","-40","-0.51","281077223140"
"043610","KT뮤직","KOSDAQ","디지털컨텐츠","4070","-5","-0.12","170182300310"
