종목코드,종목명,시장구분,업종명,종가,대비,등락률,시가총액
"095570","AJ네트웍스","KOSPI","서비스업","3570","-10","-0.28","167155593150"
"006840","AK홀딩스","KOSPI","기타금융","17100","-400","-2.29","226533293100"
"027410","BGF","KOSPI","기타금융","4015","-75","-1.83","384302915865"
"282330","BGF리테일","KOSPI","유통업","118000","-4500","-3.67","2039500908000"
"138930","BNK금융지주","KOSPI","기타금융","5510","-160","-2.82","1795903205460"
"001460","BYC","KOSPI","섬유의복","242500","1500","0.62","151469137500"
"001465","BYC우","KOSPI","섬유의복","122500","0","0.00","26384662500"
"001040","CJ","KOSPI","기타금융","76000","-1400","-1.81","2217451848000"
"079160","CJ CGV","KOSPI","서비스업","20100","-350","-1.71","705510000000"
"00104K","CJ4우(전환)","KOSPI","기타금융","57300","-400","-0.69","242179137600"
"000120","CJ대한통운","KOSPI","운수창고업","159500","500","0.31","3638568868000"
"011150","CJ씨푸드","KOSPI","음식료품","4455","-110","-2.41","160071593715"
"011155","CJ씨푸드1우","KOSPI","음식료품","41900","250","0.60","8380000000"
"001045","CJ우","KOSPI","기타금융","46700","-600","-1.27","105552414100"
"097950","CJ제일제당","KOSPI","음식료품","361000","-8000","-2.17","5434561146000"
"097955","CJ제일제당 우","KOSPI","음식료품","157000","-1000","-0.63","208406981000"
"000590","CS홀딩스","KOSPI","기타금융","55000","300","0.55","63496510000"
"012030","DB","KOSPI","서비스업","681","-6","-0.87","136999448373"
"016610","DB금융투자","KOSPI","증권","3845","-80","-2.04","163206365705"
"005830","DB손해보험","KOSPI","보험","44250","-950","-2.10","3132900000000"
"000990","DB하이텍","KOSPI","전기전자","31950","-1450","-4.34","1418534886600"
"000995","DB하이텍1우","KOSPI","전기전자","112500","-8000","-6.64","12635550000"
"139130","DGB금융지주","KOSPI","기타금융","6180","-310","-4.78","1045321247940"
"001530","DI동일","KOSPI","유통업","83600","-1200","-1.42","206124912400"
"004840","DRB동일","KOSPI","기타금융","6230","-170","-2.66","124163900000"
"155660","DSR","KOSPI","철강금속","5400","-240","-4.26","86400000000"
"069730","DSR제강","KOSPI","철강금속","4430","-85","-1.88","63792000000"
"017940","E1","KOSPI","유통업","45250","-1050","-2.27","310415000000"
"007700","F&F","KOSPI","섬유의복","90900","-900","-0.98","1399860000000"
"114090","GKL","KOSPI","서비스업","12000","-150","-1.23","742268040000"
"078930","GS","KOSPI","기타금융","33000","-800","-2.37","3066207474000"
"006360","GS건설","KOSPI","건설업","26700","-600","-2.20","2138611366800"
"001250","GS글로벌","KOSPI","유통업","1665","-40","-2.35","137418717060"
"007070","GS리테일","KOSPI","유통업","32100","-800","-2.43","2471700000000"
"078935","GS우","KOSPI","기타금융","29000","0","0.00","51759954000"
"012630","HDC","KOSPI","기타금융","9980","-220","-2.16","596222375580"
"039570","HDC아이콘트롤스","KOSPI","건설업","9450","-250","-2.58","155547000000"
"089470","HDC현대EP","KOSPI","화학","5780","-120","-2.03","184382000000"
"294870","HDC현대산업개발","KOSPI","건설업","19800","-250","-1.25","1304965134000"
"011200","HMM","KOSPI","운수창고업","8970","-520","-5.48","2930735117310"
"082740","HSD엔진","KOSPI","기계","4565","-115","-2.46","150403703230"
"003560","IHQ","KOSPI","서비스업","1345","-30","-2.18","196687081060"
"175330","JB금융지주","KOSPI","기타금융","5100","-30","-0.58","1004612759400"
"234080","JW생명과학","KOSPI","의약품","17950","-250","-1.37","284230244300"
"001060","JW중외제약","KOSPI","의약품","30800","-500","-1.60","644337663200"
"001067","JW중외제약2우B","KOSPI","의약품","61000","-1900","-3.02","5512814000"
"001065","JW중외제약우","KOSPI","의약품","47300","-1200","-2.47","8152675300"
"096760","JW홀딩스","KOSPI","기타금융","5270","-120","-2.23","350202856850"
"105560","KB금융","KOSPI","기타금융","40100","-900","-2.20","16673897592000"
"002380","KCC","KOSPI","화학","153000","-3000","-1.92","1359630063000"
"009070","KCTC","KOSPI","운수창고업","2330","-45","-1.89","69900000000"
"009440","KC그린홀딩스","KOSPI","기타금융","4125","-75","-1.79","92544292500"
"119650","KC코트렐","KOSPI","기계","7900","-210","-2.59","102700000000"
"092220","KEC","KOSPI","전기전자","2010","55","2.81","234580949400"
"016380","KG동부제철","KOSPI","철강금속","7760","-210","-2.63","776069040720"
"016385","KG동부제철우","KOSPI","철강금속","128000","-4500","-3.40","6833280000"
"001390","KG케미칼","KOSPI","화학","18200","-550","-2.93","236840822400"
"001940","KISCO홀딩스","KOSPI","철강금속","11600","-150","-1.28","214326008000"
"025000","KPX케미칼","KOSPI","화학","48000","-500","-1.03","232320000000"
"092230","KPX홀딩스","KOSPI","화학","46200","-300","-0.65","195178645200"
"000040","KR모터스","KOSPI","운수장비","945","7","0.75","86619662010"
"044450","KSS해운","KOSPI","운수창고업","9300","-150","-1.59","215628684000"
"030200","KT","KOSPI","통신업","22100","-500","-2.21","5770570956800"
"033780","KT&G","KOSPI","기타제조업","81000","-1200","-1.46","11120692257000"
"030210","KTB투자증권","KOSPI","증권","2535","-85","-3.24","152896223220"
"058850","KTcs","KOSPI","서비스업","2025","-10","-0.49","86437125000"
"058860","KTis","KOSPI","서비스업","2395","-40","-1.64","83350790000"
"093050","LF","KOSPI","섬유의복","14650","-200","-1.35","428366000000"
"003550","LG","KOSPI","기타금융","67800","-2500","-3.56","11699373481800"
"034220","LG디스플레이","KOSPI","전기전자","14050","-400","-2.77","5027310585000"
"001120","LG상사","KOSPI","유통업","15450","-50","-0.32","598842000000"
"051900","LG생활건강","KOSPI","화학","1500000","-7000","-0.46","23427295500000"
"051905","LG생활건강우","KOSPI","화학","691000","-13000","-1.85","1450890627000"
"003555","LG우","KOSPI","기타금융","51900","-700","-1.33","172031736300"
"032640","LG유플러스","KOSPI","통신업","11050","-300","-2.64","4824555539050"
"011070","LG이노텍","KOSPI","전기전자","152000","-6000","-3.80","3597400264000"
"066570","LG전자","KOSPI","전기전자","84000","-3200","-3.67","13746416376000"
"066575","LG전자우","KOSPI","전기전자","32150","-500","-1.53","552529642800"
"108670","LG하우시스","KOSPI","화학","66100","-200","-0.30","592762987000"
"108675","LG하우시스우","KOSPI","화학","27300","-400","-1.44","28182609000"
"037560","LG헬로비전","KOSPI","서비스업","3785","-30","-0.79","293136384025"
