종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"060310","3S","KOSDAQ","중견기업부","2685","-210","-7.25","2895","2900","2655","193684","536902100","112689170760","41969896"
"095570","AJ네트웍스","KOSPI",,"31250","-250","-0.79","31300","31700","30750","17652","547619150","292639343750","9364459"
"068400","AJ렌터카","KOSPI",,"9880","-100","-1.00","9990","10050","9670","178366","1753941130","218805444000","22146300"
"006840","AK홀딩스","KOSPI",,"61600","1000","1.65","61300","61900","60400","44175","2705812100","816049757600","13247561"
"054620","AP시스템","KOSDAQ","우량기업부","26100","350","1.36","25650","26500","25650","935436","24434845700","668419982100","25609961"
"211270","AP위성통신","KOSDAQ","중견기업부","8770","-30","-0.34","8800","8900","8650","27757","242526890","114867179800","13097740"
"027410","BGF리테일","KOSPI",,"174000","-11000","-5.95","182500","185500","174000","45010","8006014500","4310669736000","24773964"
"138930","BNK금융지주","KOSPI",,"9290","-130","-1.38","9330","9390","9250","1277289","11889314780","3027938435340","325935246"
"001460","BYC","KOSPI",,"436500","-4500","-1.02","441000","441000","436500","98","43010500","272644447500","624615"
"001465","BYC우","KOSPI",,"190000","-500","-0.26","190500","190500","187000","44","8283500","40923150000","215385"
"032040","C&S자산관리","KOSDAQ","중견기업부","3205","-230","-6.70","3495","3495","3200","131648","429692250","91518265405","28554841"
"001040","CJ","KOSPI",,"174500","-7000","-3.86","180500","180500","174500","90361","15898622000","5090862651000","29173998"
"079160","CJ CGV","KOSPI",,"67800","-1900","-2.73","69000","69100","67300","167101","11340675900","1434737021400","21161313"
"130960","CJ E&M","KOSDAQ","우량기업부","69900","-100","-0.14","70500","71100","69800","171413","12014747500","2707373021100","38732089"
"000120","CJ대한통운","KOSPI",,"201000","-4500","-2.19","203500","205500","200500","45079","9162482000","4585281144000","22812344"
"011150","CJ씨푸드","KOSPI",,"3325","-60","-1.77","3350","3405","3285","207378","690683800","119469820225","35930773"
"011155","CJ씨푸드1우","KOSPI",,"15800","-800","-4.82","16250","16250","15800","3707","59652500","3160000000","200000"
"035760","CJ오쇼핑","KOSDAQ","우량기업부","162100","3800","2.40","158300","162100","156100","20798","3305440600","1007535467800","6215518"
"001045","CJ우","KOSPI",,"75400","-3200","-4.07","77700","77800","74600","8766","663229300","170420814200","2260223"
"097950","CJ제일제당","KOSPI",,"349500","-8000","-2.24","353000","356500","346000","34646","12104776000","4600083351000","13161898"
"097955","CJ제일제당 우","KOSPI",,"176000","-3000","-1.68","179000","179000","175000","2921","515900000","233628208000","1327433"
"051500","CJ프레시웨이","KOSDAQ","중견기업부","39300","-50","-0.13","39600","39600","38200","22758","879688750","466553329800","11871586"
"037560","CJ헬로비전","KOSPI",,"8180","-290","-3.42","8430","8430","8150","148060","1220876170","633515355700","77446865"
"058820","CMG제약","KOSDAQ","중견기업부","3045","-325","-9.64","3425","3485","3045","2441347","7772926220","270113557980","88707244"
"023460","CNH","KOSDAQ","중견기업부","1425","-50","-3.39","1475","1490","1400","364714","516960345","53010000000","37200000"
"065770","CS","KOSDAQ","관리종목(소속부없음)","2430","-155","-6.00","2605","2680","2340","423358","1034784240","38077541100","15669770"
"083660","CSA 코스믹","KOSDAQ","중견기업부","4505","-125","-2.70","4620","4620","4400","66580","300491010","62894453665","13961033"
"000590","CS홀딩스","KOSPI",,"87000","-1200","-1.36","88300","88400","87000","174","15260500","100439934000","1154482"
"139130","DGB금융지주","KOSPI",,"9600","-70","-0.72","9660","9750","9580","486384","4687687350","1622910278400","169053154"
"068790","DMS","KOSDAQ","중견기업부","7930","-240","-2.94","8270","8270","7850","240505","1918882590","178801571910","22547487"
"004840","DRB동일","KOSPI",,"12800","-350","-2.66","13150","13200","12600","31114","400441600","236928000000","18510000"
"155660","DSR","KOSPI",,"6210","1270","25.71","5060","6420","5000","8223873","48372792970","99360000000","16000000"
"069730","DSR제강","KOSPI",,"8480","1950","29.86","6840","8480","6720","8704516","68119193140","122112000000","14400000"
"017940","E1","KOSPI",,"60800","-300","-0.49","61700","61800","60300","4185","254596000","417088000000","6860000"
"037370","EG","KOSDAQ","중견기업부","10100","-650","-6.05","10500","10800","9990","171240","1761034660","75750000000","7500000"
"079190","EMW","KOSDAQ","벤처기업부","2940","-95","-3.13","3040","3075","2920","259723","775179650","81938238060","27870149"
"007700","F&F","KOSPI",,"16100","-400","-2.42","16300","16600","15800","68080","1099139750","247940000000","15400000"
"114090","GKL","KOSPI",,"21700","-350","-1.59","22000","22450","21600","251986","5523312600","1342268039000","61855670"
"032860","GMR 머티리얼즈","KOSDAQ","투자주의환기종목(소속부없음)","3100","-1325","-29.94","4425","5750","3100","2134340","8436056940","185868095000","59957450"
"900290","GRT","KOSDAQ","외국기업(소속부없음)","5650","-110","-1.91","5810","6390","5630","10924461","65878552400","380668750000","67375000"
"078930","GS","KOSPI",,"51100","-800","-1.54","51200","51600","50700","91639","4691254900","4747975815800","92915378"
"083450","GST","KOSDAQ","벤처기업부","5080","-290","-5.40","5300","5370","5070","75664","389886340","47334144600","9317745"
"006360","GS건설","KOSPI",,"26800","-800","-2.90","27600","27600","26650","616752","16584657400","1902800000000","71000000"
