회사명,거래소코드,회계년도,[공통]자산(*)(IFRS),[공통]부채비율(IFRS),[공통]자기자본구성비율(IFRS),[공통]매출액증가율(IFRS),[공통]영업활동으로 인한 현금흐름(간접법)(*)(IFRS),[공통]PBR(최고)(IFRS),[공통]PBR(최저)(IFRS),[공통]매출액(영업수익)(*),[공통]평균배당률(IFRS)
(주)BNK금융지주,138930,2021/12,6825305648,29.96,76.94,-10.1,205631955,0.6,0.35,280016113,11.15
(주)DB하이텍,000990,2021/12,1548223597,39.99,71.43,29.78,391303244,3.3,2.03,1214682040,8.79
(주)HJ중공업,097230,2021/12,2381044000,450.92,18.15,0.66,-111432000,2.03,1.3,1705790000,0
(주)JB금융지주,175330,2021/12,2800542000,34.39,74.41,-5.56,196719000,0.93,0.52,171702000,11.82
(주)KB금융지주,105560,2021/12,28871379000,28.24,77.98,3.53,1346081000,1.15,0.77,1654411000,40.82
(주)MH에탄올,023150,2021/12,98740736,70.07,58.8,-10.5,2030480,2.62,1.02,45892137,49.56
(주)SH에너지화학,002360,2021/12,118423520,29.78,77.05,52.47,-2312274,1.79,1.03,139283569,1.97
(주)SIMPAC,009160,2021/12,796759604,62.24,61.64,80.4,45876785,1.36,0.34,490855059,34.15
(주)SNT에너지,100840,2021/12,322124195,31.22,76.21,-28.06,27963345,0.88,0.47,165465874,70.2
(주)SNT홀딩스,036530,2021/12,425705145,0.16,99.84,-25.34,16763142,0.93,0.56,18896929,69.25
(주)STX,011810,2021/12,389174000,547.76,15.44,-17.84,-6179000,6.68,1.51,647804000,0
(주)TCC스틸,002710,2021/12,308992347,142.17,41.29,26.1,6479414,2.08,0.7,407836319,14.8
(주)강원랜드,035250,2021/12,3817618525,17.49,85.11,64.9,215114775,1.95,1.43,787377362,0
(주)갤럭시아에스엠,011420,2021/12,40900713,23.75,80.81,47.9,1611959,3.28,1.21,28899467,0
(주)경농,002100,2021/12,312930580,46.13,68.43,5.5,21191387,1.86,1.01,174767545,57.65
(주)경동나비엔,009450,2021/12,667507445,84.94,54.07,27.44,68019725,3.13,1.86,951116272,44.64
(주)경동도시가스,267290,2021/12,901837037,141.35,41.43,34.1,138294611,0.46,0.29,1456385933,34.97
(주)경동인베스트,012320,2021/12,306026123,0.39,99.61,15.14,823547,0.4,0.22,8866143,13.83
(주)경방,000050,2021/12,1214189554,58.36,63.15,20.2,-6107441,0.56,0.41,271718425,22.84
(주)경보제약,214390,2021/12,236979153,62.65,61.48,-20.73,17967903,3.17,1.36,170659645,10
(주)경인양행,012610,2021/12,462114130,121.84,45.08,28.85,1344530,1.62,1.22,276226577,9.98
(주)광명전기,017040,2021/12,150647821,46.27,68.37,9.08,-2088861,1.95,0.85,122750668,2
(주)광주신세계,037710,2021/12,852280199,14.28,87.51,15.23,77532153,0.53,0.32,169971621,169.09
(주)국동,005320,2021/12,108310948,36.63,73.19,-33.14,-24301785,3.52,1.37,111711297,0
(주)국보,001140,2021/12,80664677,135.58,42.45,0.24,1413296,5.12,2.12,53417560,0
(주)금비,008870,2021/09,162948184,92.75,51.88,3.7,13988569,1.2,0.67,82273050,17.81
(주)금양,001570,2021/12,233730825,295.42,25.29,45.14,-41422728,5.77,2.99,175521044,0
(주)금호에이치티,214330,2021/12,419500176,26.15,79.27,8.91,-1903428,1.65,0.79,197311760,0
(주)까뮤이앤씨,013700,2021/12,195058433,97.4,50.66,1.21,-2668352,1.78,0.88,163686602,2.94
(주)나이스홀딩스,034310,2021/12,467714548,44.9,69.01,10.96,21259315,2.46,1.91,43252024,73.79
(주)남선알미늄,008350,2021/12,275681346,63.01,61.35,-14.2,12183877,3.23,1.48,230343537,0
(주)남성,004270,2021/12,241617650,103.51,49.14,22.63,-4316846,1.56,0.86,82097933,4.32
(주)넥센,005720,2021/12,724981151,19.64,83.58,43.6,8649798,0.54,0.4,507420580,19.4
(주)노루페인트,090350,2021/12,600505458,92.47,51.96,16.57,18815693,1.16,0.59,646952921,55.02
(주)노루홀딩스,000320,2021/12,365514372,20.61,82.91,14.03,9118374,0.8,0.47,21744240,55.16
(주)녹십자,006280,2021/12,1925626161,57.14,63.64,-4.68,117703259,5.73,2.26,1170305442,39.06
(주)녹십자홀딩스,005250,2021/12,1066673355,63.09,61.31,-6.16,35383454,4.43,1.9,73934407,68.33
(주)농심,004370,2021/12,2544772941,25.05,79.97,-0.15,138295967,1.05,0.83,2102582223,76.05
(주)농심홀딩스,072710,2021/12,564715220,0.78,99.22,0,12074113,0.75,0.61,19291130,40
(주)다우기술,023590,2021/12,1052107489,76.34,56.71,10.86,70324122,2.38,1.71,272897095,115.72
(주)다이나믹디자인,145210,2021/12,98713688,140.24,41.63,-35.27,-5885,4.05,1.71,27513392,0
(주)대교,019680,2021/12,736567687,40.52,71.16,1.11,46598127,1.25,0.74,593165825,8.26
(주)대구백화점,006370,2021/12,407470404,42.27,70.29,-10.8,-19044835,0.68,0.29,75954896,1.54
(주)대덕,008060,2021/12,540933464,0.31,99.69,139.42,9352667,0.67,0.43,13868572,60.03
(주)대동,000490,2021/12,812118607,210.89,32.17,39,14558081,1.45,0.65,886114654,6.99
(주)대양금속,009190,2021/12,157542367,58.21,63.21,44.79,-5352047,2.85,1.57,203423902,0
(주)대우건설,047040,2021/12,9192699187,237.4,29.64,5.87,1479793183,1.49,0.79,8085719645,0
(주)대웅,003090,2021/12,415669425,5.03,95.21,9.85,49360417,10.8,4.44,96233964,14.3
(주)대웅제약,069620,2021/12,1259655414,105.07,48.76,11.69,47950163,5.21,2.97,1055169533,22.93
(주)대유에이텍,002880,2021/12,452254167,292.97,25.45,13.09,10053815,2.39,0.89,419101442,0
(주)대유플러스,000300,2021/12,318803266,181.26,35.55,54.07,4705143,2.08,0.81,160425321,0
(주)대창,012800,2021/12,570884442,155.1,39.2,41.14,-37229167,1.26,0.6,594658084,5.02
(주)대한항공,003490,2021/12,26193031955,275.36,26.64,18.21,3498373266,1.66,1.19,8753416403,0
(주)대현,016090,2021/12,280081122,26.72,78.92,13.7,30688796,0.81,0.37,287896441,14.81
(주)대호에이엘,069460,2021/12,145025262,110.1,47.6,18.1,-3831573,3,1.24,143401758,0
(주)더메디팜,118000,2021/12,171997948,45.15,68.9,141.77,-1074071,1.73,0.83,16014257,0
(주)더블유게임즈,192080,2021/12,999668738,15.75,86.39,-10.68,68445399,1.86,1.12,213362973,129.34
(주)더존비즈온,012510,2021/12,892107531,81.89,54.98,3.49,66316362,8.53,5.22,313777223,104.79
(주)덕성,004830,2021/12,119614500,46.33,68.34,-0.6,6781883,6.94,1.27,106620318,8.61
(주)덴티움,145720,2021/12,526730985,98.78,50.31,25.94,59785313,3.92,1.71,225242076,34.86
