회사명,거래소코드,회계년도,자산(*)(IFRS연결)(천원),부채비율(IFRS연결),자기자본구성비율(IFRS연결),매출액증가율(IFRS연결),영업활동으로 인한 현금흐름(간접법)(*)(비교)(IFRS연결)(천원),PBR(최고)(IFRS),PBR(최저)(IFRS),매출액(영업수익)(*)(연결)(천원),배당성향(IFRS연결)
(주)BNK금융지주,138930,2021/12,,,,,-657584723,,,5580702718,
(주)DB하이텍,000990,2021/12,1549937896,40.13,71.36,29.78,393129115,3.3,2.03,1214682040,
(주)HJ중공업,097230,2021/12,2385236000,452.13,18.11,0.63,-110633000,2.03,1.3,1706532000,
(주)JB금융지주,175330,2021/12,,,,,279207000,,,2541454000,
(주)KB금융지주,105560,2021/12,,,,,-2025390000,,,58917647000,
(주)MH에탄올,023150,2021/12,451460752,432.99,18.76,7.84,26371475,2.62,1.02,102066937,
(주)SH에너지화학,002360,2021/12,119629058,30.4,76.69,49.39,-2034404,1.79,1.03,139801659,
(주)SIMPAC,009160,2021/12,903229593,65.23,60.52,67.55,63747133,1.36,0.34,613012780,
(주)SNT에너지,100840,2021/12,332143488,35.65,73.72,0,29859821,0.88,0.47,171088093,
(주)SNT홀딩스,036530,2021/12,2372324440,33.27,75.04,0,90010420,0.93,0.56,1404072099,
(주)STX,011810,2021/12,676149000,451.82,18.12,-5.13,-12528000,6.68,1.51,925509000,
(주)TCC스틸,002710,2021/12,366996615,136.42,42.3,24.28,7630671,2.08,0.7,536651129,
(주)강원랜드,035250,2021/12,3827273464,17.66,84.99,64.74,210874269,1.95,1.43,788432830,
(주)갤럭시아에스엠,011420,2021/12,,,,,,3.28,1.21,,
(주)경농,002100,2021/12,388785779,64.18,60.91,8.85,10815548,1.86,1.01,270269450,
(주)경동나비엔,009450,2021/12,933884529,107.34,48.23,26.28,80668519,3.13,1.86,1102947010,
(주)경동도시가스,267290,2021/12,904491766,140.93,41.51,0,138736973,0.46,0.29,1457154328,
(주)경동인베스트,012320,2021/12,577693061,31.37,76.12,-3.89,25395956,0.4,0.22,298461109,
(주)경방,000050,2021/12,1270805118,68.96,59.19,0,20910159,0.56,0.41,383357145,
(주)경보제약,214390,2021/12,,,,,,3.17,1.36,,
(주)경인양행,012610,2021/12,579492465,130.08,43.46,22.48,9230963,1.62,1.22,403325659,
(주)광명전기,017040,2021/12,169926627,47.59,67.76,10.96,-2536009,1.95,0.85,137092770,
(주)광주신세계,037710,2021/12,,,,,,0.53,0.32,,
(주)국동,005320,2021/12,168474551,64.58,60.76,-10.44,-25316837,3.52,1.37,226961774,
(주)국보,001140,2021/12,102314952,221.31,31.12,-11.9,2033468,5.12,2.12,96849603,
(주)금양,001570,2021/12,314832085,168.15,37.29,23.58,-39808116,5.77,2.99,217719114,
(주)금호에이치티,214330,2021/12,458795624,30.78,76.46,6.54,4893537,1.65,0.79,233985567,
(주)까뮤이앤씨,013700,2021/12,,,,,,1.78,0.88,,
(주)나이스홀딩스,034310,2021/12,3083783180,133.54,42.82,19.19,229477209,2.46,1.91,2449866532,
(주)남선알미늄,008350,2021/12,355238355,50.57,66.41,-14.2,12056159,3.23,1.48,230343537,
(주)남성,004270,2021/12,288756910,143.53,41.06,10.58,-2012884,1.56,0.86,102320291,
(주)넥센,005720,2021/12,4572292481,116,46.3,22.12,236049353,0.54,0.4,2403881271,
(주)노루페인트,090350,2021/12,670646934,94.4,51.44,13.69,23768428,1.16,0.59,730931676,
(주)노루홀딩스,000320,2021/12,1055537182,80.89,55.28,12.64,25399226,0.8,0.47,955214024,
(주)녹십자,006280,2021/12,2462144732,64.17,60.91,2.24,125978949,5.73,2.26,1537825750,
(주)녹십자홀딩스,005250,2021/12,3496833927,83.01,54.64,7.05,103769151,4.43,1.9,1840558603,
(주)농심,004370,2021/12,2899907794,31.77,75.89,0.88,162684342,1.05,0.83,2662982988,
(주)농심홀딩스,072710,2021/12,1328637732,27.89,78.19,9.93,42391506,0.75,0.61,641495586,
(주)다우기술,023590,2021/12,46322445970,903.42,9.97,28.61,-3480396427,2.38,1.71,6086980402,
(주)다이나믹디자인,145210,2021/12,116040977,177.65,36.02,-31.03,1462327,4.05,1.71,52955234,
(주)대교,019680,2021/12,813566533,57.55,63.47,1.82,46422418,1.25,0.74,638394753,
(주)대구백화점,006370,2021/12,486599802,91.55,52.21,-10.22,-18428482,0.68,0.29,81794092,
(주)대덕,008060,2021/12,1723958191,25.57,79.64,40693.19,253799663,0.67,0.43,1371708882,
(주)대동,000490,2021/12,1260639076,226.67,30.61,31.64,-5872607,1.45,0.65,1179193322,
(주)대양금속,009190,2021/12,,,,,-5352047,2.85,1.57,,
(주)대우건설,047040,2021/12,10457976991,225.15,30.76,0,1746844561,1.49,0.79,8685207680,
(주)대웅,003090,2021/12,1933709055,67.13,59.83,0,133175353,10.8,4.44,1511373581,
(주)대웅제약,069620,2021/12,1415179681,101.48,49.63,0,39994279,5.21,2.97,1152975698,
(주)대유에이텍,002880,2021/12,1320996327,596.36,14.36,12.88,-22033420,2.39,0.89,1655785868,
