,업종명,평가연도,총자산규모(Size),부채비율(DEB),자기자본비율(DEB),매출액증가율,현금흐름(CF),PBR,ESG_A,ESG_A+,ESG_B,ESG_B+,ESG_C,ESG_D,E_A,E_A+,E_B,E_B+,E_C,E_D,S_A,S_A+,S_B,S_B+,S_C,S_D,G_A,G_A+,G_B,G_B+,G_C,G_D,배당기업구분
신세계인터내셔날,유통업,2017,27.58062908370327,0.007154301169298421,0.6940623245367772,0.002531352610186163,0.6936185493681101,0.07693104698751489,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,일반배당기업
현대비앤지스틸,철강금속,2021,27.368034105495035,0.0042513554367379575,0.7822852330151602,0.002968240779808608,0.6959417124269572,0.07128425633321245,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,일반배당기업
미원상사,화학,2021,26.643271221090746,0.0020159779132520486,0.8856681639528357,0.002874586862414795,0.7300154668206345,0.09920737709164379,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,일반배당기업
오리온홀딩스,기타금융,2021,29.232787344101336,0.0022002423545872474,0.875350926445817,0.002335954253738863,0.7382527027580479,0.07071439672589752,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,고배당기업
삼천리,전기가스업,2022,29.24483991146582,0.01766518214071557,0.5429533969679956,0.003655689953557954,0.7032852206244985,0.07304564057400403,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,고배당기업
시디즈,기타제조업,2022,25.166658230491503,0.002663245802518489,0.8512071869736104,0.002335954253738863,0.7027899874258927,0.08428741646376212,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,고배당기업
동원산업,"농업, 임업 및 어업",2011,27.89861243091864,0.01272986208275035,0.594679955081415,0.0023903813994494033,0.6978686415307274,0.07817437703983837,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,고배당기업
대한제당,음식료품,2017,27.773276219965616,0.012116167799320407,0.6028916339135317,0.00235581280690352,0.6925022363633807,0.07123245091436564,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,일반배당기업
두산,서비스업,2016,30.986691184533363,0.02051971941834899,0.5212661426165076,0.0020062042042763555,0.7049615435723999,0.07858882039061285,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,고배당기업
동일산업,철강금속,2016,26.64052859288442,0.0010743553867679392,0.9447641774284112,0.0023050631710382864,0.7085393778302124,0.07040356421281665,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,일반배당기업
한국가스공사,전기가스업,2016,31.318094832629562,0.025405069458325005,0.49284110050533414,0.0018706266746460459,0.7488903705245901,0.07029995337512304,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,무배당기업
평화산업,운수장비,2016,25.829625843098444,0.014096229762142714,0.5779758562605279,0.002389645897480342,0.7044533679934456,0.07786354452675749,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,일반배당기업
두올,운수장비,2017,26.511050018241338,0.008708837197681391,0.6596013475575521,0.002742932009952813,0.7364029911343976,0.07263119722322954,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,일반배당기업
빙그레,음식료품,2018,27.206264762036387,0.0015592207175694583,0.9128298708590681,0.002329334736017311,0.7123478557963344,0.0787960420660001,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,일반배당기업
자화전자,전기전자,2011,26.190810997400487,0.004370815010993403,0.7777933745087031,0.00465229512163609,0.7135855793707816,0.07584313319173185,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,일반배당기업
녹십자,의약품,2017,28.163753930254817,0.004188892914251449,0.784601347557552,0.002520074913327222,0.7020020974204307,0.08951976376729005,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,일반배당기업
한국내화,비금속광물,2013,26.008733275670178,0.008137305116929842,0.6715328467153285,0.0024798674723518683,0.7016902338292186,0.07434077604517432,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,일반배당기업
환인제약,의약품,2013,25.986478599130653,0.0008963371976813912,0.9573975294778216,0.0022731914190456276,0.7168074405737125,0.07843340413407242,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,일반배당기업
서연,기타금융,2017,28.649021855496844,0.013801875124925046,0.581414935429534,0.0021243748539722133,0.7073423436129119,0.07206133761591463,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,일반배당기업
평화산업,운수장비,2014,25.805940785701686,0.014455389266440135,0.5739752947782146,0.004238697847700588,0.7064434430051341,0.07351188934362535,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,무배당기업
삼성공조,운수장비,2016,26.255582481607785,0.0021213834199480313,0.8797024143739474,0.002130994371693766,0.718597890407709,0.07029995337512304,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,일반배당기업
한국화장품,유통업,2017,25.322391390900098,0.005276521587047771,0.7466311061201574,0.0021910603658337763,0.6763861196364809,0.11417914313837227,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,무배당기업
롯데손해보험,보험,2021,30.570774910316388,0.1395490830501699,0.3650336889387985,0.001994436172771374,0.6996355803567285,0.07128425633321245,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,무배당기업
하나제약,의약품,2021,26.438638399629085,0.0015990405756546072,0.9103733857383494,0.0025999994606318894,0.724197530656021,0.0838211676941408,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,고배당기업
