기업명,업종명,평가연도,총자산규모,부채비율,자기자본비율,매출액증가율,현금흐름,PBR,ESG_-,ESG_A,ESG_A+,ESG_B,ESG_B+,ESG_B이하,ESG_C,ESG_D,E_-,E_A,E_A+,E_B,E_B+,E_B+이하,E_C,E_D,S_-,S_A,S_A+,S_B,S_B+,S_B이하,S_C,S_D,G_-,G_A,G_A+,G_B,G_B+,G_B이하,G_C,G_D,배당기업구분
조선내화,비금속광물,2016,27.60079494829825,-0.5137217885850658,0.5775309316036165,-0.46864771446219555,0.24357565901031009,-0.5229588932278462,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,고배당기업
이건산업,종이목재,2022,26.81644486023108,-0.12826359053729275,-0.36490845859596005,0.5768483070561655,-0.44504944464048013,-0.28238627284327816,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,일반배당기업
용평리조트,서비스업,2017,27.489637827982726,-0.174363959010489,-0.2837122362331478,-0.3979789996807532,0.3872158874592512,-0.11431499010885379,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,일반배당기업
동양고속,운수창고업,2017,26.078333468497434,-0.40702586796337725,0.24195116865904598,-0.8134709468709359,0.5994088937681522,-0.4636396169686376,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,일반배당기업
삼영무역,유통업,2012,26.24563802747357,-0.6963611028937954,1.3927785515123132,-0.37342036830280506,-0.15916547328464253,-0.5031858011414433,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,일반배당기업
코오롱,서비스업,2011,28.968299722622938,0.793175340351131,-1.2646376971480455,3.544934327876747,-0.10659708974803679,-0.6284153843553281,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,일반배당기업
아남전자,전기전자,2014,25.778659043266654,-0.08813182710686539,-0.4306163842074842,0.08467328637973663,-1.3302853057363524,-0.40432034070942907,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,무배당기업
에이블씨엔씨,화학,2012,26.183820328289006,-0.5058204923855908,0.5498397343816168,1.4785009162179736,0.33628684954352606,1.9948148324407844,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,고배당기업
비상교육,서비스업,2011,25.91440464174746,-0.5611864096394664,0.7544729884289352,0.5663231793227591,0.059374476466967946,-0.4109113714048966,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,일반배당기업
부광약품,의약품,2014,26.190555689924597,-0.7423477836518912,1.6715678930354951,-0.37342036830280506,1.4224188223421135,0.9995691974251739,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,고배당기업
일정실업,섬유의복,2015,24.95847033273356,-0.7018749570761629,1.4242244873406857,-1.045023757005875,0.06048513582151966,-0.6020512615734576,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,일반배당기업
현대위아,운수장비,2018,29.592164276715703,-0.05305916699840408,-0.4850600939998902,-0.11029217496764711,-0.533149033954452,-0.7206898140918746,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,일반배당기업
유엔젤,서비스업,2014,24.821632416668105,-0.7374592119025758,1.639652614881326,-1.6995864627120012,-1.1825862760215098,-0.25602215006140766,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,일반배당기업
코스맥스비티아이,기타금융,2017,27.3310140268746,-0.15810661575113744,-0.3132808027583338,0.21548558820921515,-0.06154911722776779,-0.2164759658886019,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,일반배당기업
자화전자,전기전자,2017,26.856190329657945,-0.459890655485045,0.39824216314931427,2.0974786662540117,0.39873624788878287,0.001028047061829567,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,고배당기업
코리아써키트,전기전자,2018,26.938851051834785,-0.6496922958450974,1.1459044881433011,-0.8460487231886221,-0.22640843409565725,-0.5163678625323785,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,무배당기업
코오롱플라스틱,화학,2017,26.592111057687053,-0.3494430402650446,0.08988425510094693,0.12827738698956279,1.117211096709509,-0.04181365245870992,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,일반배당기업
