,업종명,평가연도,총자산규모,부채비율,자기자본비율,매출액증가율,현금흐름,PBR,ESG_A,ESG_A+,ESG_B,ESG_B+,ESG_C,ESG_D,E_A,E_A+,E_B,E_B+,E_C,E_D,S_A,S_A+,S_B,S_B+,S_C,S_D,G_A,G_A+,G_B,G_B+,G_C,G_D,배당기업구분
신세계인터내셔날,유통업,2017,27.58062908370327,-0.282287919362682,-0.05088174828973808,-0.006480413303778823,-0.26069611634532236,-0.2789520623847458,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,일반배당기업
현대비앤지스틸,철강금속,2021,27.368034105495035,-0.48034043369104606,0.5410669404067185,0.7756807380604006,-0.18086187207727886,-0.6489471348105385,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,일반배당기업
미원상사,화학,2021,26.643271221090746,-0.6328483273225971,1.2347347355140224,0.6080120737387863,0.9900643016301051,1.1806615260839777,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,일반배당기업
오리온홀딩스,기타금융,2021,29.232787344101336,-0.6202769466390322,1.1655092325399738,-0.3563022077130105,1.273132467429591,-0.6862860870736918,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,고배당기업
삼천리,전기가스업,2022,29.24483991146582,0.43481346522269665,-1.0647763598756341,2.0064214049656526,0.07149382245491452,-0.533535827815337,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,고배당기업
시디즈,기타제조업,2022,25.166658230491503,-0.5886886892434647,1.0035121371449207,-0.3563022077130105,0.054475400955583404,0.20305986683050717,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,고배당기업
동원산업,"농업, 임업 및 어업",2011,27.89861243091864,0.09810288343959021,-0.7177070014275125,-0.2588612561962609,-0.11464399375326123,-0.19748525744695652,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,고배당기업
대한제당,음식료품,2017,27.773276219965616,0.05623379353585328,-0.6626091521216373,-0.3207494281055478,-0.2990576100681918,-0.6523415850162797,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,일반배당기업
두산,서비스업,2016,30.986691184533363,0.6295633286935141,-1.210291192657818,-0.9466539184789036,0.12909975553190864,-0.1703296558010269,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,고배당기업
동일산업,철강금속,2016,26.64052859288442,-0.697090213358102,1.63125088180075,-0.4116065315468414,0.2520500981697278,-0.706652788308139,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,일반배당기업
한국가스공사,전기가스업,2016,31.318094832629562,0.9628647224946367,-1.4010145171781558,-1.1893784508607168,1.6386901770713247,-0.7134416887196215,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,무배당기업
평화산업,운수장비,2016,25.829625843098444,0.19132286732195633,-0.82978638719502,-0.2601780258113522,0.11163657611934422,-0.21785195868140383,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,일반배당기업
두올,운수장비,2017,26.511050018241338,-0.17623021198565855,-0.28210434665883916,0.3723103126374596,1.209568126121055,-0.5606914294612668,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,일반배당기업
빙그레,음식료품,2018,27.206264762036387,-0.6640104362204166,1.416981467833456,-0.36815313424883145,0.3829263873216997,-0.15675185497806188,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,일반배당기업
자화전자,전기전자,2011,26.190810997400487,-0.4721903436716164,0.5109279459146158,3.790644233414244,0.4254600897247374,-0.35023551670531133,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,일반배당기업
녹십자,의약품,2017,28.163753930254817,-0.48460191866852564,0.556607359441709,-0.026670880735177392,0.02739998629070756,0.54589933761037,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,일반배당기업
한국내화,비금속광물,2013,26.008733275670178,-0.21522279952959686,-0.20204764253919125,-0.09865428636016357,0.016682962350298737,-0.4486745726718066,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,일반배당기업
환인제약,의약품,2013,25.986478599130653,-0.7092354455439188,1.716016803809789,-0.4686665482007939,0.5361776105173444,-0.1805130064182505,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,일반배당기업
서연,기타금융,2017,28.649021855496844,0.17124061936558382,-0.8067112195370036,-0.735092933654249,0.21091466355731756,-0.5980303817244202,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,일반배당기업
평화산업,운수장비,2014,25.805940785701686,0.21582640594246397,-0.856628929164549,3.0501807865279527,0.180024429477216,-0.502985775963666,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,무배당기업
삼성공조,운수장비,2016,26.255582481607785,-0.6256570714231002,1.194706383454198,-0.7232420071184279,0.5977054524191949,-0.7134416887196215,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,일반배당기업
한국화장품,유통업,2017,25.322391390900098,-0.41039881149816226,0.30183867162565264,-0.6157058218859791,-0.8528792604805101,2.1616576355431896,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,무배당기업
롯데손해보험,보험,2021,30.570774910316388,4.925353260241819,-2.239726223278704,-0.9677222323203628,-0.05392409494784898,-0.6489471348105385,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,무배당기업
하나제약,의약품,2021,26.438638399629085,-0.6612937395472733,1.4004992052205876,0.1164180841047342,0.7901340663705334,0.17250981497883613,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,고배당기업
동원수산,"농업, 임업 및 어업",2021,25.33781194131966,-0.36006002020168454,0.15208554274301686,-0.37912621437459154,-0.06828855485667319,-0.5063802261694074,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,무배당기업
서원,철강금속,2011,26.686315631638212,0.16170554672847315,-0.7954090966024653,0.3156892191885375,-0.6052041108634024,-0.3230799150593816,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,일반배당기업
평화산업,운수장비,2017,25.90669188591333,0.09037894191790852,-0.7078176438597915,-0.39009929450035163,-0.24631131921235505,-0.3638133175282762,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,무배당기업
진도,유통업,2011,25.916757039489788,-0.0546713530030531,-0.4987283695708281,0.6633163975726172,-1.3585744238386035,-0.5301413776095958,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,고배당기업
아남전자,전기전자,2014,25.778659043266654,-0.08929591844507487,-0.4412759113202572,0.04487360168477844,-1.266435766947519,-0.41133562040865324,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,무배당기업
한화투자증권,증권,2022,30.038839167355345,2.430679954425264,-1.83614625015789,0.11158992884939978,0.8386643548531519,-0.6183970829588674,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,무배당기업
웅진씽크빅,서비스업,2012,27.075448757303796,0.12638848997761104,-0.7530261355979455,-1.0563847197365044,0.15481621157165884,0.8378220553041148,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,무배당기업
현대백화점,유통업,2022,30.121681982991262,-0.2933677803041289,-0.023568284531269995,1.4151918477896988,0.17308708868554892,-0.7949084936574108,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,일반배당기업
미래아이앤지,서비스업,2017,24.954791681168956,-0.7230320031585088,1.9877386760276532,-1.3034984841686215,-1.8527149498896316,-0.37060221793975867,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,무배당기업
풀무원,기타금융,2018,27.82541816955252,0.16809777419469263,-0.8029438452254908,-0.2900248037534196,-0.14034281261546952,-0.07528505004027274,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,일반배당기업
롯데손해보험,보험,2016,30.037739066286257,4.925353260241819,-2.239726223278704,0.0009812811817380756,2.0835599294973393,-0.5437191784325607,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,일반배당기업
영풍제지,종이목재,2021,26.0684493226377,-0.4574882204993117,0.45865562734237497,0.6479540853965531,0.5018147044573735,0.026548456131963875,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,일반배당기업
영풍,철강금속,2012,28.694517000804122,-0.5957201394563061,1.0383603495264149,0.3073496782929598,1.463650943830543,-0.1465685043608383,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,고배당기업
MH에탄올,음식료품,2015,25.092663713481112,-0.5761173085599,0.942292304582837,-0.2307701710743151,1.9919563767601116,0.02994290633770517,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,일반배당기업
금강공업,철강금속,2021,27.490216190035127,-0.1063951269172117,-0.4120787604060327,0.24370581356355128,-0.6882081198832062,-0.4826190747292188,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,일반배당기업
한국내화,비금속광물,2012,25.944067384297426,-0.24068517227003744,-0.14694979323331572,-0.0020911812534747626,0.31530601591363655,-0.4181245208201356,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,일반배당기업
백광산업,화학,2014,26.830746448424968,0.5583432610073863,-1.1603734830302725,-0.9773785428310318,-0.11764978407514311,-0.4520690228775478,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,무배당기업
