,총자산규모(Size),부채비율(DEB),자기자본비율(DEB),매출액증가율,배당률,ESG,E,S,G,평가연도,업종명,현금흐름(CF),PBR
AJ네트웍스,2081316853000.0,386.87,20.54,18.79,0.0,B이하,C,B이하,B이하,2016,서비스업,-0.14892713579650807,6.46
BNK금융지주,5808093984000.0,26.83,78.84,99.25,4.6,A,A+,B+,B이하,2016,기타금융,-0.22916346615371988,0.63
CS홀딩스,293927435000.0,12.23,89.1,-11.39,9.94,B이하,C,B이하,B이하,2016,서비스업,0.1348176631050485,0.63
JB금융지주,1910239000000.0,30.51,76.62,20.0,1.0,B이하,A+,B이하,B이하,2016,기타금융,-0.31909760998539916,0.6000000000000001
KISCO홀딩스,1493955210000.0,17.27,85.27,-2.7,14.9,B이하,B,B이하,B이하,2016,서비스업,0.10867151573767511,0.43
LG이노텍,4323719058000.0,143.11,41.13,-6.25,5.0,A,A,A+,A,2016,전기전자,0.057657285911149804,1.475
MH에탄올,72339673000.0,13.77,87.89,-2.96,47.05,B이하,B,B이하,B이하,2016,음식료품,0.2504412282751354,0.93
OCI,6248555403000.0,91.4,52.25,19.02,7.5,B+,B+,A,B+,2016,화학,0.14880601024421464,0.6950000000000001
SH에너지화학,124488724000.0,19.6,83.61,0.9,10.94,B이하,B,B이하,B이하,2016,화학,0.05350678249201341,1.92
SIMPAC,417865468000.0,73.81,57.53,-0.91,18.23,B이하,C,B이하,B이하,2016,기계,0.13196957177691127,0.665
SK이노베이션,32581330983000.0,77.99,56.18,-18.27,127.3,A,A+,B+,A,2016,서비스업,0.09305930770691172,1.3250000000000002
STX,707709000000.0,0.0,-46.71,5.48,0.0,B이하,C,B+,B이하,2016,유통업,0.03362084651772255,0.0
STX엔진,830228814000.0,674.01,12.92,0.0,0.0,B+,B,B+,B+,2016,기계,0.060424282501973035,1.81
STX중공업,849906703000.0,0.0,-71.94,-60.6,0.0,B이하,D,B+,B+,2016,기계,-0.016494796444337385,0.0
가온전선,519225689000.0,96.25,50.96,-4.03,11.33,B이하,B,B이하,B+,2016,전기전자,0.05034422120734168,0.34
강남제비스코,560934377000.0,20.83,82.76,-1.22,50.0,B이하,B,B이하,B이하,2016,화학,0.08817437970307523,0.77
강원랜드,3978987574000.0,22.33,81.75,3.84,187.63,A,B+,A,A,2016,서비스업,0.3515917597408188,2.8049999999999997
갤럭시아에스엠,58444606000.0,30.32,76.73,-15.76,0.0,B이하,C,B이하,B이하,2016,서비스업,-0.022717601194732727,1.685
경농,320915151000.0,74.44,57.33,3.85,43.65,B이하,B,B+,B이하,2016,화학,0.07841840715504982,0.825
경동나비엔,429754702000.0,79.99,55.56,13.91,14.86,B이하,C,B이하,B이하,2016,전기전자,0.1051571275159909,2.905
경방,1301910960000.0,91.5,52.22,5.54,36.0,B이하,C,B이하,B이하,2016,섬유의복,0.1801085632571333,0.47
경인양행,344298515000.0,65.3,60.5,4.45,9.79,B이하,B,B이하,B이하,2016,화학,0.0691724268521363,1.105
경인전자,64297759000.0,7.62,92.92,-6.22,4.37,B이하,B,B이하,B이하,2016,전기전자,0.05023213675164788,0.7
계양전기,243982899000.0,36.2,73.42,15.77,13.04,B이하,B,B이하,B이하,2016,기계,0.0551198008799198,1.19
고려산업,167843756000.0,97.42,50.65,-7.09,2.9,B이하,B,B이하,B이하,2016,음식료품,0.09157891073277184,1.5899999999999999
고려아연,6482637892000.0,14.48,87.35,22.55,159.23,B이하,B+,B이하,B이하,2016,철강금속,0.11640910109343591,1.77
고려제강,2453092338000.0,65.49,60.43,-3.78,34.99,B이하,D,B이하,B+,2016,철강금속,0.0840720795869792,0.69
광동제약,679780115000.0,70.08,58.8,10.57,6.19,B이하,B,B이하,B이하,2016,의약품,0.027260995492219674,1.49
광명전기,146859319000.0,49.76,66.77,-16.66,0.0,B이하,C,B이하,B이하,2016,전기전자,0.04644673812198604,1.575
광전자,242283949000.0,19.17,83.91,-17.12,0.0,B이하,B+,B이하,B이하,2016,전기전자,0.07233691016110327,0.745
광주신세계,655502726000.0,22.69,81.51,2.48,25.0,B이하,B,B이하,B이하,2016,유통업,0.23819884950734185,0.78
교보증권,5117239439000.0,587.2,14.55,7.79,3.28,B+,A+,B+,B이하,2016,증권,0.5161457145800661,0.46
국도화학,682784695000.0,53.14,65.3,-5.85,24.0,B이하,C,B이하,B+,2016,화학,0.05920381845593755,0.895
국동,124126720000.0,139.97,41.67,15.9,0.0,B이하,B,B이하,B이하,2016,유통업,0.003788356070986992,1.84
국보,81308887000.0,432.28,18.79,-4.68,0.0,B이하,C,B이하,B이하,2016,운수창고업,0.005808939419071249,2.7800000000000002
국제약품,129455413000.0,91.73,52.16,2.59,5.7,B이하,B+,B이하,B이하,2016,의약품,0.1333945527131408,1.41
극동유화,191718877000.0,37.06,72.96,-8.49,23.0,B이하,B,B이하,B이하,2016,화학,0.12343430778574783,0.5800000000000001
금강공업,710805610000.0,133.21,42.88,6.57,9.02,B이하,C,B이하,B이하,2016,철강금속,0.0772177135507229,0.9950000000000001
금양,178901902000.0,418.85,19.27,6.09,0.0,B이하,B,B이하,B이하,2016,화학,0.0476187032116682,5.91
금호전기,460497632000.0,187.56,34.78,4.78,0.0,B이하,B,B이하,B이하,2016,전기전자,0.05740332983435512,0.5
금호타이어,5121661355000.0,321.85,23.7,-3.06,0.0,B+,C,A+,B+,2016,화학,0.07037622309579532,1.005
까뮤이앤씨,142978398000.0,179.73,35.75,5.54,1.69,B이하,B+,B이하,B이하,2016,건설업,-0.06970944267639247,1.055
깨끗한나라,522464181000.0,148.05,40.31,4.04,0.0,B이하,B,B이하,B+,2016,종이목재,0.07090467433736083,1.03
남광토건,175893879000.0,332.68,23.11,-39.28,0.0,B이하,C,B이하,B이하,2016,건설업,-0.024968470503041823,3.0200000000000005
남선알미늄,283413750000.0,131.23,43.25,14.39,0.0,B이하,B,B이하,B이하,2016,철강금속,0.1030811824308378,1.15
남성,204535206000.0,178.71,35.88,10.36,1.1,B이하,C,B이하,B이하,2016,유통업,0.08189347244644361,1.0
남양유업,1041501794000.0,17.12,85.39,1.99,19.28,B이하,D,B+,B이하,2016,음식료품,0.09763352433468346,0.75
남해화학,530446811000.0,33.28,75.03,0.0,4.34,B이하,B,B이하,B+,2016,화학,0.05169926116952647,1.1800000000000002
넥센,970602747000.0,18.25,84.56,4.99,15.01,B이하,B,B이하,B+,2016,서비스업,0.0696760101054995,0.525
넥센타이어,2617913245000.0,117.66,45.94,3.11,19.03,B+,B+,B+,B+,2016,화학,0.20224092888029346,1.205
노루페인트,570582358000.0,106.39,48.45,3.75,40.02,B이하,B,B이하,B이하,2016,화학,0.09282001294165837,0.8999999999999999
노루홀딩스,970205089000.0,81.85,54.99,0.97,55.18,B이하,D,B이하,B이하,2016,서비스업,0.07896021241396392,0.8999999999999999
